object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.557,0.775,20692.0,20692.0,41.71354696019029,41.71354696019029,0,1,"[(0.557, 0.775)]",[20692.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.307,0.498,16250.0,7875.0,39.482073147189226,39.482073147189226,0,2,"[(-1.0, -1.0), (0.307, 0.498)]","[7875.0, 16250.0]",0,P,a
1,Hat.ico     ,0.381,0.357,0.708,0.565,7520.0,7520.0,73.63400912621829,2.2879029699705384,0,1,"[(0.708, 0.565)]",[7520.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.382,0.345,4201.0,4201.0,85.60738811574618,31.863968679371993,0,1,"[(0.382, 0.345)]",[4201.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.303,0.404,9990.0,9990.0,46.565507620984874,36.952435643675784,0,1,"[(0.303, 0.404)]",[9990.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.671,0.644,13072.0,13072.0,69.77761317213424,75.73949102020688,0,1,"[(0.671, 0.644)]",[13072.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.38,0.371,55496.0,55496.0,86.86657872853056,26.655584780679625,0,1,"[(0.38, 0.371)]",[55496.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.066,0.107,19356.0,19356.0,120.57255952338346,3.9147086251530885,0,1,"[(0.066, 0.107)]",[19356.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.088,0.281,51573.0,51573.0,100.69465035626426,14.792535398987962,0,1,"[(0.088, 0.281)]",[51573.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.077,0.473,13413.0,13413.0,37.09625318007197,6.281504596830284,0,1,"[(0.077, 0.473)]",[13413.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.551,0.071,37911.0,37911.0,80.08997150113618,17.315281551415822,0,1,"[(0.551, 0.071)]",[37911.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.887,0.075,24924.0,24924.0,6.150430719011153,6.150430719011153,0,1,"[(0.887, 0.075)]",[24924.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.756,0.588,33101.0,33101.0,17.934833587859025,51.007426679104256,0,1,"[(0.756, 0.588)]",[33101.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.884,0.855,5954.0,5954.0,14.31063365248182,14.31063365248182,0,1,"[(0.884, 0.855)]",[5954.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.113,0.724,43844.0,43844.0,44.9312175696978,35.82301888416889,0,1,"[(0.113, 0.724)]",[43844.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.451,0.693,58744.0,58744.0,77.98692340320518,20.349737107820165,0,1,"[(0.451, 0.693)]",[58744.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.301,0.347,18298.0,18298.0,24.666587234808656,30.236654080973068,0,1,"[(0.301, 0.347)]",[18298.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.088,0.094,3708.0,3708.0,18.548126590035988,18.548126590035988,0,1,"[(0.088, 0.094)]",[3708.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.083,0.337,43474.0,43474.0,29.80154693971438,29.80154693971438,0,1,"[(0.083, 0.337)]",[43474.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.467,0.099,6012.0,6012.0,10.293678792009214,10.293678792009214,0,1,"[(0.467, 0.099)]",[6012.0],4,NT,a
