object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
10,Bag.ico     ,0.4405797,0.2826748,0.811,0.096,162121.0,162121.0,78.81191746060614,22.96392035383752,0,1,"[(0.811, 0.096)]",[162121.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.091,0.593,68336.0,68336.0,64.78414929595048,64.78414929595048,0,1,"[(0.091, 0.593)]",[68336.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.312,0.727,113030.0,113030.0,30.020895249539006,30.020895249539006,0,1,"[(0.312, 0.727)]",[113030.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.704,0.792,109598.0,109598.0,59.373707985942744,26.832413234742795,0,1,"[(0.704, 0.792)]",[109598.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.429,0.143,42278.0,42278.0,38.96158364337877,50.91574609096875,0,1,"[(0.429, 0.143)]",[42278.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.863,0.352,77912.0,77912.0,119.3991739078215,71.45765994538448,0,1,"[(0.863, 0.352)]",[77912.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.056,0.121,10257.0,10257.0,4.184315953653594,4.184315953653594,0,1,"[(0.056, 0.121)]",[10257.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.052,0.38,90606.0,90606.0,38.825160075635715,38.825160075635715,0,1,"[(0.052, 0.38)]",[90606.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.898,0.664,101365.0,101365.0,53.964974822345695,36.81319609754638,0,1,"[(0.898, 0.664)]",[101365.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.898,0.102,30986.0,30986.0,110.57954886096589,28.704252741967437,0,1,"[(0.898, 0.102)]",[30986.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.435,0.366,55501.0,55501.0,108.43578980138223,31.681117089041408,0,1,"[(0.435, 0.366)]",[55501.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.914,0.067,22582.0,22582.0,75.18464345880002,60.849821015076785,0,1,"[(0.914, 0.067)]",[22582.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.83,0.543,132887.0,132887.0,146.3044414910224,11.994102717585838,0,1,"[(0.83, 0.543)]",[132887.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.088,0.153,13312.0,13312.0,18.1128479067113,18.1128479067113,0,1,"[(0.088, 0.153)]",[13312.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.448,0.503,143817.0,143817.0,97.98493608713535,33.51602154194318,0,1,"[(0.448, 0.503)]",[143817.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.464,0.745,105327.0,105327.0,69.04010211464059,18.981941418095253,0,1,"[(0.464, 0.745)]",[105327.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.083,0.337,152034.0,152034.0,115.35550788757337,52.79162907128365,0,1,"[(0.083, 0.337)]",[152034.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.851,0.304,126954.0,126954.0,171.9356181830862,88.44331631050477,0,1,"[(0.851, 0.304)]",[126954.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.445,0.328,88533.0,88533.0,91.82033816099786,17.4023820208614,0,1,"[(0.445, 0.328)]",[88533.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.123,0.541,118395.0,10335.0,56.25904160796976,21.522188660247174,0,2,"[(-1.0, -1.0), (0.123, 0.541)]","[10335.0, 118395.0]",7,NT,a
10,Cake.ico    ,0.477,0.03,0.456,0.164,53005.0,53005.0,25.770752802353293,25.770752802353293,0,1,"[(0.456, 0.164)]",[53005.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.404,0.446,52354.0,52354.0,103.77444483108546,30.24821482335776,0,1,"[(0.404, 0.446)]",[52354.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.792,0.423,60585.0,60585.0,124.79520302152562,40.0170742386771,0,1,"[(0.792, 0.423)]",[60585.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.877,0.688,81286.0,81286.0,30.82746340521709,30.82746340521709,0,1,"[(0.877, 0.688)]",[81286.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.462,0.849,100227.0,100227.0,137.14065225162082,54.52735185207513,0,1,"[(0.462, 0.849)]",[100227.0],8,DivRI,a
