trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,69.33611972626456,69.33611972626456,18457.0,01,0,0,2,a
1,P,2,6000,102.8639555433416,102.8639555433416,13768.0,01,0,0,2,a
2,P,2,0,66.364253590998,66.364253590998,43712.0,01,0,0,2,a
3,B,10,30000,917.2971119691438,348.630043204082,121991.0,9463857201,0,8,10,a
4,NT,10,30000,1104.3825430672555,328.6905944126629,90738.0,3701598642,0,10,10,a
5,SimRI,10,0,1041.4147626362994,268.8877081707063,140796.0,3758149620,0,10,10,a
6,B,10,30000,1290.5507473401537,393.61907573731025,161434.0,3618072945,0,10,10,a
7,NT,10,30000,1009.633087910794,383.88240693620156,140511.0,4397125086,0,9,10,a
8,DivRI,10,0,1043.0679287289565,356.062061888048,125864.0,2378015649,0,9,10,a
9,B,10,30000,856.9912461608693,305.94294946440505,114247.0,2590736814,0,9,12,a
10,NT,10,30000,671.4927546470143,269.66491646071455,128834.0,0178352496,0,7,10,a
11,SimRI,10,0,870.7003646008864,301.0771426854913,148021.0,5902413876,1,7,10,a
12,B,10,30000,813.8356291951635,289.9920632715297,120961.0,0617983254,2,5,10,a
13,NT,10,30000,773.0182641016058,293.15552877681915,105860.0,6980251734,0,8,10,a
14,DivRI,10,0,827.3791237960535,361.39303723263,129097.0,0694735182,1,6,10,a
15,DB,10,30000,545.5131148225616,244.8225632054283,122085.0,0391486275,1,5,10,b
16,D,10,0,1057.946516379654,321.6545470909023,106408.0,9432170586,3,3,11,b
17,DB,10,30000,763.8586176158698,353.49275077758193,67989.0,1487926035,0,9,10,b
18,D,10,0,876.8619391137723,309.5014650174419,91656.0,8720349615,0,9,10,b
19,C,10,3000,62.953823788065066,62.953823788065066,123132.0,0123456789,0,0,14,b
