trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,120.80330448873143,120.80330448873143,23884.0,01,0,0,3,a
1,P,2,6000,161.44515710312294,55.80138372046912,7465.0,10,1,0,2,a
2,P,2,0,108.94009835255022,92.22438564601211,37545.0,10,1,0,2,a
3,B,10,30000,820.7242818469539,489.61413575292,173534.0,6812309547,0,10,11,a
4,NT,10,30000,862.0841989156738,407.3448781183119,124484.0,5902314786,0,8,10,a
5,SimRI,10,0,782.883860070252,305.9902260598474,121814.0,5189602743,2,4,10,a
6,B,10,30000,785.8761815841303,308.4462792874866,90748.0,5132409786,3,0,10,a
7,NT,10,30000,1064.3203601264488,474.0834284006952,76565.0,4032761958,1,8,10,a
8,DivRI,10,0,1020.436397083754,351.4426801145578,112169.0,8509613247,1,8,10,a
9,B,10,30000,582.411159784357,309.4276908284695,87546.0,9820473561,1,6,10,a
10,NT,10,30000,650.2077353799037,318.13651832446874,64264.0,8532796410,2,5,10,a
11,SimRI,10,0,867.4376180794517,189.65861321788066,97564.0,1904786235,0,9,10,a
12,B,10,30000,1037.8520235356812,335.734343543742,68065.0,4253968107,0,9,10,a
13,NT,10,30000,652.4643134295764,281.0465864621764,66180.0,0956238741,1,6,10,a
14,DivRI,10,0,1013.2756422139764,355.92681032612,88462.0,2143068597,0,8,10,a
15,DB,10,30000,814.7877639255427,391.578646352835,51921.0,0954671328,0,9,10,b
16,D,10,0,1104.2748979158703,466.6360638853233,100792.0,6840925713,1,7,10,b
17,DB,10,30000,893.4776253383268,473.4960532385507,54804.0,9726381450,2,5,10,b
18,D,10,0,1073.8811729675906,436.80360997134426,90551.0,3496125708,1,7,10,b
19,C,10,3000,119.64931157627947,119.64931157627947,149607.0,0123456789,0,0,20,b
