trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,31.549137956146456,31.549137956146456,18604.0,01,0,0,2,a
1,P,2,6000,30.82634684531194,30.82634684531194,8650.0,01,0,0,2,a
2,P,2,0,136.47793278851645,36.915216546626375,27360.0,10,1,0,2,a
3,B,10,30000,572.0329432094624,254.9987277922904,63218.0,0213456798,2,0,10,a
4,NT,10,30000,976.7303556119182,324.43440411198947,34143.0,1382907465,0,10,10,a
5,SimRI,10,0,553.1135285903589,290.83896346012267,42812.0,0243156789,0,3,10,a
6,B,10,30000,513.5223273371557,250.41920944944988,58729.0,6973150842,1,6,11,a
7,NT,10,30000,679.0950187373614,404.8747865180645,31303.0,0524816973,1,5,10,a
8,DivRI,10,0,720.1660829374276,317.3610504080066,48396.0,4673208159,0,8,10,a
9,B,10,30000,735.7401430849376,274.2827910569818,30545.0,0782359146,2,4,10,a
10,NT,10,30000,543.6813116503504,207.0098396683452,28036.0,1247056983,0,7,10,a
11,SimRI,10,0,884.8880014085867,278.5053910750014,34379.0,6413987502,0,9,10,a
12,B,10,30000,427.9251574084582,226.37125996072436,36616.0,4623071589,3,0,10,a
13,NT,10,30000,517.3899331020923,237.43475208278207,39073.0,0697421583,1,5,10,a
14,DivRI,10,0,769.0388252696633,276.8261144073166,43911.0,0183695427,1,5,10,a
15,DB,10,30000,759.8483634275905,332.89092516903435,38051.0,2180475693,0,8,10,b
16,D,10,0,968.7720027399394,354.9667501460479,84084.0,2016387954,1,8,10,b
17,DB,10,30000,436.267215623106,282.8162836463158,30776.0,8213956704,3,0,10,b
18,D,10,0,500.3074152931172,310.61884053365173,51068.0,5423610987,1,5,10,b
19,C,10,3000,96.72062644891852,96.72062644891852,70633.0,0123456789,0,0,11,b
