object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.213,0.727,18604.0,27.76341477556391,0,1,"[(0.213, 0.727)]",[18604.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.506,0.513,12968.0,3.7857231805825458,0,1,"[(0.506, 0.513)]",[12968.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.277,0.35,5499.0,19.80470903598434,0,1,"[(0.277, 0.35)]",[5499.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.775,0.476,8650.0,11.021637809327599,0,1,"[(0.775, 0.476)]",[8650.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.198,0.751,27360.0,72.73725111660461,0,1,"[(0.198, 0.751)]",[27360.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.483,0.498,21688.0,63.74068167191186,0,1,"[(0.483, 0.498)]",[21688.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.835,0.44,51663.0,5.35044857932492,0,1,"[(0.835, 0.44)]",[51663.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.674,0.143,63218.0,153.57879807558024,0,1,"[(0.674, 0.143)]",[63218.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.186,0.849,57536.0,156.74749329405657,0,1,"[(0.186, 0.849)]",[57536.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.202,0.45,7217.0,42.84489467836279,0,1,"[(0.202, 0.45)]",[7217.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.138,0.123,22861.0,15.352330956463948,0,1,"[(0.138, 0.123)]",[22861.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.806,0.156,28313.0,23.48208716416315,0,1,"[(0.806, 0.156)]",[28313.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.532,0.798,55059.0,42.5254423551854,0,1,"[(0.532, 0.798)]",[55059.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.901,0.893,40202.0,7.358584746780116,0,1,"[(0.901, 0.893)]",[40202.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.492,0.138,45400.0,87.83415302304407,0,1,"[(0.492, 0.138)]",[45400.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.511,0.464,15244.0,36.9587103365011,0,1,"[(0.511, 0.464)]",[15244.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.854,0.45,25983.0,84.16064470233354,0,1,"[(0.854, 0.45)]",[25983.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.549,0.445,6142.0,108.6201933343888,0,1,"[(0.549, 0.445)]",[6142.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.514,0.15,22460.0,111.32378721549138,0,1,"[(0.514, 0.15)]",[22460.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.143,0.181,17928.0,70.02403616605558,0,1,"[(0.143, 0.181)]",[17928.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.53,0.634,34143.0,72.70979386697765,0,1,"[(0.53, 0.634)]",[34143.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.871,0.213,24542.0,26.886846226361325,0,1,"[(0.871, 0.213)]",[24542.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.854,0.849,31973.0,122.48296616264648,0,1,"[(0.854, 0.849)]",[31973.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.533,0.89,14919.0,38.541910954180786,0,1,"[(0.533, 0.89)]",[14919.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.153,0.48,20151.0,166.36877758127977,0,1,"[(0.153, 0.48)]",[20151.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.233,0.78,30238.0,175.61139940220284,0,1,"[(0.233, 0.78)]",[30238.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.87,0.544,27533.0,16.756664345865502,0,1,"[(0.87, 0.544)]",[27533.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.184,0.213,25950.0,100.43893370969172,0,1,"[(0.184, 0.213)]",[25950.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.178,0.865,39986.0,160.1407218414177,0,1,"[(0.178, 0.865)]",[39986.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.156,0.519,19994.0,49.473387795864554,0,1,"[(0.156, 0.519)]",[19994.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.532,0.238,34156.0,84.8545329407145,0,1,"[(0.532, 0.238)]",[34156.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.893,0.194,13957.0,19.335997160047267,0,1,"[(0.893, 0.194)]",[13957.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.516,0.885,36426.0,55.50475986637719,0,1,"[(0.516, 0.885)]",[36426.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.918,0.906,16300.0,7.039035403771246,0,1,"[(0.918, 0.906)]",[16300.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.345,0.516,42812.0,17.461635253764783,0,1,"[(0.345, 0.516)]",[42812.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.484,0.5,21981.0,42.10786027284446,0,1,"[(0.484, 0.5)]",[21981.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.132,0.557,14865.0,70.75376527083206,0,1,"[(0.132, 0.557)]",[14865.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.503,0.652,58729.0,55.67637486891359,0,2,"[(-1.0, -1.0), (0.503, 0.652)]","[54259.0, 58729.0]",6,B,a
3,BLAD.ICO    ,0.868,0.526,0.817,0.9,26234.0,71.7176386950937,0,1,"[(0.817, 0.9)]",[26234.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.795,0.202,6098.0,32.26477491010902,0,1,"[(0.795, 0.202)]",[6098.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.491,0.183,43667.0,107.67257551563537,0,1,"[(0.491, 0.183)]",[43667.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.099,0.172,4057.0,10.012477215954101,0,1,"[(0.099, 0.172)]",[4057.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.148,0.909,20197.0,63.599189368000125,0,1,"[(0.148, 0.909)]",[20197.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.811,0.554,45815.0,27.55504632179749,0,1,"[(0.811, 0.554)]",[45815.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.492,0.495,22952.0,52.561050266853925,0,1,"[(0.492, 0.495)]",[22952.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.494,0.855,29064.0,21.709434903966333,0,1,"[(0.494, 0.855)]",[29064.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.528,0.235,3047.0,5.779546140215592,0,1,"[(0.528, 0.235)]",[3047.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.476,0.86,22908.0,100.06796940080277,0,1,"[(0.476, 0.86)]",[22908.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.131,0.208,9499.0,29.90818980930902,0,1,"[(0.131, 0.208)]",[9499.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.854,0.472,6519.0,43.623106262621874,0,1,"[(0.854, 0.472)]",[6519.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.87,0.835,28041.0,126.67187572622424,0,1,"[(0.87, 0.835)]",[28041.0],7,NT,a
