object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.23,0.688,11958.0,29.830605089404422,0,1,"[(0.23, 0.688)]",[11958.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.74,0.727,4697.0,57.002849928753555,0,1,"[(0.74, 0.727)]",[4697.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.232,0.514,4657.0,41.12523556163539,0,1,"[(0.232, 0.514)]",[4657.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.843,0.547,9956.0,20.34508785923522,0,1,"[(0.843, 0.547)]",[9956.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.775,0.81,16642.0,72.7114385774343,0,1,"[(0.775, 0.81)]",[16642.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.195,0.841,12057.0,28.395943372249494,0,1,"[(0.195, 0.841)]",[12057.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.157,0.737,45222.0,137.2478779435223,0,1,"[(0.157, 0.737)]",[45222.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.633,0.697,29074.0,96.3628533187963,0,1,"[(0.633, 0.697)]",[29074.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.41,0.712,24098.0,115.47767671758169,0,1,"[(0.41, 0.712)]",[24098.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.857,0.72,32525.0,173.89775300445947,0,1,"[(0.857, 0.72)]",[32525.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.401,0.194,14371.0,58.91276652762797,0,1,"[(0.401, 0.194)]",[14371.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.644,0.423,20449.0,80.71701331303926,0,1,"[(0.644, 0.423)]",[20449.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.224,0.435,8005.0,104.47544071820994,0,1,"[(0.224, 0.435)]",[8005.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.8,0.156,36293.0,148.06488310661493,0,1,"[(0.8, 0.156)]",[36293.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.596,0.191,40641.0,92.01497944484649,0,1,"[(0.596, 0.191)]",[40641.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.121,0.213,11482.0,62.146488419679784,0,1,"[(0.121, 0.213)]",[11482.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.186,0.56,24825.0,64.19634266461311,0,1,"[(0.186, 0.56)]",[24825.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.825,0.814,28276.0,195.88668280411508,0,1,"[(0.825, 0.814)]",[28276.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.652,0.192,19958.0,130.0299811581929,0,1,"[(0.652, 0.192)]",[19958.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.45,0.247,13356.0,38.338383914049636,0,1,"[(0.45, 0.247)]",[13356.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.41,0.609,37106.0,52.827658095720814,0,1,"[(0.41, 0.609)]",[37106.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.06,0.901,34125.0,184.1040195107103,0,1,"[(0.06, 0.901)]",[34125.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.876,0.483,42801.0,153.242509115454,0,1,"[(0.876, 0.483)]",[42801.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.585,0.532,40287.0,48.866950999627534,0,1,"[(0.585, 0.532)]",[40287.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.926,0.892,30907.0,10.3758438880574,0,1,"[(0.926, 0.892)]",[30907.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.127,0.162,8830.0,123.07366412031455,0,1,"[(0.127, 0.162)]",[8830.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.041,0.893,16870.0,169.8638254602786,0,1,"[(0.041, 0.893)]",[16870.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.247,0.881,47148.0,35.31590820210983,0,1,"[(0.247, 0.881)]",[47148.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.366,0.639,39547.0,105.56495399880734,0,1,"[(0.366, 0.639)]",[39547.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.879,0.92,42127.0,198.3528111724157,0,1,"[(0.879, 0.92)]",[42127.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.568,0.274,29411.0,94.05113809507465,0,1,"[(0.568, 0.274)]",[29411.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.099,0.214,13389.0,156.33350670119748,0,1,"[(0.099, 0.214)]",[13389.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.306,0.415,22041.0,92.67615978785591,0,2,"[(-1.0, -1.0), (0.306, 0.415)]","[19595.0, 22041.0]",5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.382,0.232,24909.0,164.0227342556377,0,1,"[(0.382, 0.232)]",[24909.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.682,0.427,32545.0,83.66933047870961,0,1,"[(0.682, 0.427)]",[32545.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.671,0.611,36370.0,76.21130725172868,0,1,"[(0.671, 0.611)]",[36370.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.603,0.257,30490.0,154.08754005434704,0,1,"[(0.603, 0.257)]",[30490.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.669,0.912,43857.0,65.63715650836649,0,1,"[(0.669, 0.912)]",[43857.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.112,0.249,21931.0,152.97832035945487,0,1,"[(0.112, 0.249)]",[21931.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.426,0.228,26094.0,42.342300362639726,0,1,"[(0.426, 0.228)]",[26094.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.847,0.273,34877.0,126.89928532931225,0,1,"[(0.847, 0.273)]",[34877.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.086,0.592,8257.0,85.51308788717665,0,1,"[(0.086, 0.592)]",[8257.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.487,0.596,46831.0,79.3476707919567,0,1,"[(0.487, 0.596)]",[46831.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.836,0.784,39797.0,66.83858714617182,0,1,"[(0.836, 0.784)]",[39797.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.393,0.448,12318.0,36.34767625935316,0,1,"[(0.393, 0.448)]",[12318.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.116,0.893,18340.0,90.40358978452986,0,1,"[(0.116, 0.893)]",[18340.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.146,0.922,45556.0,155.11226133877,0,1,"[(0.146, 0.922)]",[45556.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.301,0.727,22595.0,58.308953857876745,0,1,"[(0.301, 0.727)]",[22595.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.075,0.137,6356.0,15.155390060491875,0,1,"[(0.075, 0.137)]",[6356.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.871,0.181,33388.0,97.14705759826182,0,1,"[(0.871, 0.181)]",[33388.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.101,0.712,16635.0,79.13790810983065,0,1,"[(0.101, 0.712)]",[16635.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.914,0.884,40602.0,126.54542030433184,0,1,"[(0.914, 0.884)]",[40602.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.688,0.735,37778.0,111.24495943637176,0,1,"[(0.688, 0.735)]",[37778.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.287,0.224,10872.0,116.59701068209255,0,1,"[(0.287, 0.224)]",[10872.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.625,0.445,25897.0,97.70847797979086,0,1,"[(0.625, 0.445)]",[25897.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.566,0.123,29023.0,24.457657287647148,0,1,"[(0.566, 0.123)]",[29023.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.066,0.099,18627.0,158.48653854507646,0,1,"[(0.066, 0.099)]",[18627.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.876,0.123,39011.0,178.62833113541592,0,2,"[(0.854, 0.135), (0.876, 0.123)]","[37607.0, 39011.0]",8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.748,0.688,46996.0,38.30467856541808,0,2,"[(-1.0, -1.0), (0.748, 0.688)]","[44941.0, 46996.0]",8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.631,0.213,33890.0,12.363146848598054,0,1,"[(0.631, 0.213)]",[33890.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.078,0.348,41818.0,91.6537571619964,0,1,"[(0.078, 0.348)]",[41818.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.069,0.675,51042.0,101.1149939425405,0,1,"[(0.069, 0.675)]",[51042.0],8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.295,0.162,23566.0,90.83432952850335,0,1,"[(0.295, 0.162)]",[23566.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.472,0.32,28556.0,50.96772477182404,0,1,"[(0.472, 0.32)]",[28556.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.236,0.468,55474.0,43.35727121042958,0,2,"[(-1.0, -1.0), (0.236, 0.468)]","[54003.0, 55474.0]",8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.876,0.895,58161.0,54.22406267783292,0,1,"[(0.876, 0.895)]",[58161.0],8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.83,0.806,24232.0,116.0428791438751,0,1,"[(0.83, 0.806)]",[24232.0],9,B,a
2,Camel.ico   ,0.679,0.674,0.697,0.192,18192.0,91.64383667219526,0,1,"[(0.697, 0.192)]",[18192.0],9,B,a
3,Camera.ico  ,0.278,0.346,0.446,0.292,32007.0,33.52840586726425,0,1,"[(0.446, 0.292)]",[32007.0],9,B,a
4,Candle.ico  ,0.2318841,0.09118541,0.116,0.21,15306.0,31.53429457925735,0,1,"[(0.116, 0.21)]",[15306.0],9,B,a
5,Cap.ico     ,0.684058,0.9392097,0.554,0.761,11307.0,41.918056699053324,0,1,"[(0.554, 0.761)]",[11307.0],9,B,a
6,Cards.ico   ,0.8231884,0.4650456,0.424,0.112,4543.0,101.25281198514199,0,1,"[(0.424, 0.112)]",[4543.0],9,B,a
7,Carrot.ico  ,0.2753623,0.8054711,0.36,0.525,7798.0,55.66305393071467,0,1,"[(0.36, 0.525)]",[7798.0],9,B,a
8,Caterp.ico  ,0.885,0.221,0.885,0.189,27457.0,6.08,0,1,"[(0.885, 0.189)]",[27457.0],9,B,a
9,CD.ico      ,0.094,0.557,0.806,0.528,21049.0,135.3921655783672,0,1,"[(0.806, 0.528)]",[21049.0],9,B,a
10,Eagle.ico   ,0.4637681,0.5896657,0.099,0.648,38611.0,70.18659081164301,0,1,"[(0.099, 0.648)]",[38611.0],9,B,a
1,Calcul.ico  ,0.2927536,0.212766,0.334,0.192,17530.0,8.773994011250297,0,1,"[(0.334, 0.192)]",[17530.0],10,NT,a
2,Camel.ico   ,0.6289855,0.08510638,0.934,0.15,7681.0,59.24985636508375,0,1,"[(0.934, 0.15)]",[7681.0],10,NT,a
3,Camera.ico  ,0.3681159,0.556231,0.157,0.89,34021.0,75.03717236301313,0,1,"[(0.157, 0.89)]",[34021.0],10,NT,a
4,Candle.ico  ,0.2637681,0.8632219,0.12,0.157,11051.0,136.93433774653323,0,1,"[(0.12, 0.157)]",[11051.0],10,NT,a
5,Cap.ico     ,0.581,0.461,0.77,0.693,23353.0,56.85573409956114,0,1,"[(0.77, 0.693)]",[23353.0],10,NT,a
6,Cards.ico   ,0.8550724,0.2218845,0.789,0.385,20740.0,33.4379641214976,0,1,"[(0.789, 0.385)]",[20740.0],10,NT,a
7,Carrot.ico  ,0.8869565,0.8449848,0.516,0.225,5519.0,137.27284714811873,0,1,"[(0.516, 0.225)]",[5519.0],10,NT,a
8,Caterp.ico  ,0.567,0.695,0.83,0.806,29494.0,54.23826140281417,0,1,"[(0.83, 0.806)]",[29494.0],10,NT,a
9,CD.ico      ,0.074,0.421,0.303,0.663,26246.0,63.30308444301905,0,1,"[(0.303, 0.663)]",[26246.0],10,NT,a
10,Eagle.ico   ,0.878,0.575,0.334,0.451,14714.0,106.01114658374374,0,1,"[(0.334, 0.451)]",[14714.0],10,NT,a
1,Calcul.ico  ,0.679,0.674,0.408,0.194,43331.0,104.73137113587313,0,1,"[(0.408, 0.194)]",[43331.0],11,SimRI,a
2,Camel.ico   ,0.278,0.346,0.89,0.168,27804.0,121.09843434165448,0,1,"[(0.89, 0.168)]",[27804.0],11,SimRI,a
3,Camera.ico  ,0.2318841,0.09118541,0.806,0.735,50082.0,163.8970322329278,0,1,"[(0.806, 0.735)]",[50082.0],11,SimRI,a
4,Candle.ico  ,0.684058,0.9392097,0.459,0.378,12608.0,114.88441256169199,0,1,"[(0.459, 0.378)]",[12608.0],11,SimRI,a
5,Cap.ico     ,0.885,0.221,0.783,0.516,30615.0,59.305875762861824,0,1,"[(0.783, 0.516)]",[30615.0],11,SimRI,a
6,Cards.ico   ,0.094,0.557,0.598,0.194,23084.0,118.01202692946174,0,1,"[(0.598, 0.194)]",[23084.0],11,SimRI,a
