object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.295,0.784,7184.0,8.962282075453782,0,1,"[(0.295, 0.784)]",[7184.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.582,0.498,9542.0,14.785858108341221,0,1,"[(0.582, 0.498)]",[9542.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.358,0.456,5185.0,19.310955439853313,0,1,"[(0.358, 0.456)]",[5185.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.735,0.489,7213.0,18.78791632938575,0,1,"[(0.735, 0.489)]",[7213.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.309,0.727,12677.0,53.4822157357004,0,1,"[(0.309, 0.727)]",[12677.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.697,0.506,15140.0,88.13808994980546,0,1,"[(0.697, 0.506)]",[15140.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.827,0.453,26780.0,2.6600000000000024,0,1,"[(0.827, 0.453)]",[26780.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.175,0.882,4266.0,28.699345014474602,0,1,"[(0.175, 0.882)]",[4266.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.647,0.167,38417.0,11.393967506110943,0,1,"[(0.647, 0.167)]",[38417.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.154,0.412,32346.0,31.50220627194228,0,1,"[(0.154, 0.412)]",[32346.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.116,0.143,36795.0,19.280951629958547,0,1,"[(0.116, 0.143)]",[36795.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.89,0.12,35005.0,6.569049463153403,0,2,"[(0.146, 0.121), (0.89, 0.12)]","[28929.0, 35005.0]",3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.666,0.655,19783.0,10.719538321410866,0,1,"[(0.666, 0.655)]",[19783.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.814,0.827,15705.0,24.318360982096344,0,1,"[(0.814, 0.827)]",[15705.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.347,0.626,24094.0,24.582774292897064,0,1,"[(0.347, 0.626)]",[24094.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.391,0.413,30888.0,26.493116824892322,0,1,"[(0.391, 0.413)]",[30888.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.702,0.383,40377.0,53.02141279815565,0,1,"[(0.702, 0.383)]",[40377.0],4,NT,a
