trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,117.18960047937574,59.256630532780136,15504.0,10,1,0,2,a
1,P,2,6000,43.83458385868417,43.83458385868417,9065.0,01,0,0,2,a
2,P,2,0,155.5264778231323,126.12993714203645,12929.0,10,1,0,2,a
3,B,10,30000,368.11833190386307,242.6467381783518,73604.0,9823456710,2,0,13,a
4,NT,10,30000,487.9045424326429,354.18190580024657,63685.0,2130456789,0,3,10,a
5,SimRI,10,0,464.09256774207824,212.05396693498525,57313.0,7123456890,0,4,10,a
6,B,10,30000,186.85280994463497,186.85280994463497,40011.0,0123456789,0,0,11,a
7,NT,10,30000,273.7092248235094,273.7092248235094,32059.0,0123456789,0,0,10,a
8,DivRI,10,0,293.7797488027059,216.50539102867918,39217.0,0673154289,1,3,10,a
9,B,10,30000,267.84906671555984,172.50265389047956,69791.0,0923476581,2,0,17,a
10,NT,10,30000,693.1413517605951,249.15183112809814,47296.0,0145738926,1,6,10,a
11,SimRI,10,0,1022.6890735217045,255.88030846432815,64366.0,9237580614,0,10,12,a
12,B,10,30000,249.5022488269653,249.5022488269653,46964.0,0123456789,0,0,12,a
13,NT,10,30000,112.82635102000633,112.82635102000633,44915.0,0123456789,0,0,15,a
14,DivRI,10,0,260.53462390019956,221.81661445589268,36571.0,0123476589,1,0,13,a
15,DB,10,30000,274.68029548217453,274.68029548217453,59543.0,0123456789,0,0,12,b
16,D,10,0,1314.8867305505928,296.109939404159,47161.0,6732485910,1,7,11,b
17,DB,10,30000,280.805521554717,237.38086736762153,81140.0,0123654789,1,0,23,b
18,D,10,0,231.3775646726702,222.74949914406446,42372.0,0123654789,1,0,12,b
19,C,10,3000,82.71625217094066,82.71625217094066,145113.0,0123456789,0,0,23,b
