trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,22.8268963596838,22.8268963596838,20268.0,01,0,0,2,a
1,P,2,6000,41.39041796361825,41.39041796361825,11717.0,01,0,0,2,a
2,P,2,0,150.73497983448286,78.84140825181242,18225.0,10,1,0,3,a
3,B,10,30000,335.4182602833275,235.05122982965,62597.0,0183456729,1,0,11,a
4,NT,10,30000,220.37171411028027,209.77198619861798,57291.0,7123456089,1,0,11,a
5,SimRI,10,0,521.286098593599,319.04959758738494,70157.0,0192458763,1,3,10,a
6,B,10,30000,164.92476461543265,164.92476461543265,47600.0,0123456789,0,0,11,a
7,NT,10,30000,147.04460121531048,147.04460121531048,40723.0,0123456789,0,0,10,a
8,DivRI,10,0,161.5555876775739,161.5555876775739,33345.0,0123456789,0,0,11,a
9,B,10,30000,208.50117801824476,208.50117801824476,34981.0,0123456789,0,0,10,a
10,NT,10,30000,488.0479196315537,242.46975312738635,52822.0,0123476895,0,4,10,a
11,SimRI,10,0,927.6779213960408,203.63202197766742,55507.0,1234786509,0,8,10,a
12,B,10,30000,149.94087016948384,149.94087016948384,32083.0,0123456789,0,0,10,a
13,NT,10,30000,265.6097412476886,231.74950470555564,49406.0,0623451789,1,0,11,a
14,DivRI,10,0,132.78333643270904,132.78333643270904,33366.0,0123456789,0,0,10,a
15,DB,10,30000,241.2755754803051,211.36667115560485,50108.0,0153426789,1,0,12,b
16,D,10,0,1144.4015807133617,226.3727088667969,37294.0,6732584910,1,8,10,b
17,DB,10,30000,255.48328646511115,249.33291031744926,42256.0,0723416589,0,3,10,b
18,D,10,0,268.8900767898056,242.28674657436204,59485.0,0523416789,1,0,11,b
19,C,10,3000,77.21433626514613,77.21433626514613,98346.0,0123456789,0,0,18,b
