trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,25.18661364626497,25.18661364626497,15381.0,01,0,0,2,a
1,P,2,6000,40.17427272331515,40.17427272331515,11083.0,01,0,0,2,a
2,P,2,0,135.5483403651958,38.57262956956429,12889.0,10,1,0,2,a
3,B,10,30000,384.83058534712296,222.68652193282338,73219.0,9130456782,0,4,10,a
4,NT,10,30000,886.4077032780364,308.24999478747327,92329.0,4963751082,0,7,10,a
5,SimRI,10,0,549.8482870904401,236.41704412675222,66238.0,6834951720,0,8,10,a
6,B,10,30000,202.2265339651779,202.2265339651779,60291.0,0123456789,0,0,12,a
7,NT,10,30000,442.6843561904867,403.8860885195212,70343.0,9128356740,1,3,12,a
8,DivRI,10,0,325.8572941813829,310.93571104432226,66881.0,0123654789,1,0,11,a
9,B,10,30000,492.75300999408694,234.7753508668177,71926.0,3720456981,1,3,11,a
10,NT,10,30000,546.7184395623724,312.1075873632663,73987.0,0132759684,1,4,10,a
11,SimRI,10,0,908.6314646332982,195.64960285678512,81969.0,9014786523,0,9,10,a
12,B,10,30000,369.4497715019553,216.74867875456636,80086.0,0723416589,0,3,12,a
13,NT,10,30000,221.80902406767314,204.294476764011,47206.0,0123458769,1,0,10,a
14,DivRI,10,0,431.9197523385133,241.8498065185707,44997.0,0623417589,0,4,10,a
15,DB,10,30000,262.5967453863565,184.83153791318696,63320.0,0423156789,1,0,10,b
16,D,10,0,1255.1030866244926,177.88312998106977,65559.0,6735284910,0,10,11,b
17,DB,10,30000,281.2254434595211,281.2254434595211,36989.0,0123456789,0,0,10,b
18,D,10,0,243.31253633922887,237.80678874605132,66303.0,0123654789,1,0,11,b
19,C,10,3000,84.26365869524928,84.26365869524928,174549.0,0123456789,0,0,22,b
