object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
10,GELD.ICO    ,0.063,0.263,0.077,0.382,17126.0,22.765932882269507,0,1,"[(0.077, 0.382)]",[17126.0],15,DB,b
1,Bal.ico     ,0.62,0.042,0.18,0.952,52296.0,192.05043608385793,0,1,"[(0.18, 0.952)]",[52296.0],16,D,b
2,BALLON.ICO  ,0.449,0.235,0.903,0.652,58926.0,117.12463660562625,0,1,"[(0.903, 0.652)]",[58926.0],16,D,b
3,BANAAN.ICO  ,0.963,0.298,0.288,0.773,67207.0,156.8219531825822,0,1,"[(0.288, 0.773)]",[67207.0],16,D,b
4,Bed.ico     ,0.293,0.425,0.895,0.225,35864.0,120.52711064320759,0,1,"[(0.895, 0.225)]",[35864.0],16,D,b
5,BEERTJE.ICO ,0.177,0.797,0.633,0.862,61560.0,87.51578200530462,0,2,"[(0.743, 0.863), (0.633, 0.862)]","[48015.0, 61560.0]",16,D,b
6,Beetle.ico  ,0.043,0.494,0.35,0.483,87264.0,58.36743098680976,0,1,"[(0.35, 0.483)]",[87264.0],16,D,b
7,BEKER.ICO   ,0.6811594,0.9300912,0.598,0.082,43896.0,161.91012171158843,0,1,"[(0.598, 0.082)]",[43896.0],16,D,b
8,BEL.ICO     ,0.063,0.263,0.322,0.2,39197.0,50.64489115399499,0,2,"[(0.341, 0.235), (0.322, 0.2)]","[30633.0, 39197.0]",16,D,b
9,frog.ico    ,0.9072464,0.6048632,0.061,0.577,82440.0,160.87394667913733,0,1,"[(0.061, 0.577)]",[82440.0],16,D,b
10,GELD.ICO    ,0.065,0.971,0.052,0.348,79399.0,118.39576766084166,0,2,"[(0.101, 0.408), (0.052, 0.348)]","[75306.0, 79399.0]",16,D,b
1,Chain.ico   ,0.16,0.577,0.189,0.644,58271.0,13.871301308817436,0,1,"[(0.189, 0.644)]",[58271.0],17,DB,b
2,Cheese.ico  ,0.409,0.349,0.426,0.339,107379.0,3.747385755430042,0,2,"[(0.461, 0.405), (0.426, 0.339)]","[31427.0, 107379.0]",17,DB,b
3,Cherry.ico  ,0.159,0.031,0.191,0.082,83303.0,11.439514849852682,0,5,"[(0.227, 0.101), (0.265, 0.053), (0.194, 0.105), (0.279, 0.058), (0.191, 0.082)]","[6026.0, 33456.0, 39614.0, 75651.0, 83303.0]",17,DB,b
4,Chess.ico   ,0.673,0.773,0.754,0.791,53590.0,15.76542102197083,0,2,"[(-1.0, -1.0), (0.754, 0.791)]","[45151.0, 53590.0]",17,DB,b
5,Chicken.ico ,0.8521739,0.4194529,0.851,0.322,94924.0,18.517394307036884,0,1,"[(0.851, 0.322)]",[94924.0],17,DB,b
6,CHURC01B.ICO,0.206,0.196,0.358,0.194,84664.0,28.882499891802997,0,5,"[(0.38, 0.318), (0.358, 0.247), (0.423, 0.2), (0.257, 0.26), (0.358, 0.194)]","[19086.0, 22999.0, 36825.0, 77300.0, 84664.0]",17,DB,b
7,CIG01B.ICO  ,0.824,0.601,0.86,0.547,102651.0,12.330985362086837,0,1,"[(0.86, 0.547)]",[102651.0],17,DB,b
