object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.282,0.743,9975.0,15.450867289573113,0,1,"[(0.282, 0.743)]",[9975.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.503,0.498,6991.0,6.682492050126216,0,1,"[(0.503, 0.498)]",[6991.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.311,0.522,7336.0,34.05455182497636,0,1,"[(0.311, 0.522)]",[7336.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.772,0.442,4716.0,9.499999999999988,0,1,"[(0.772, 0.442)]",[4716.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.262,0.757,10082.0,63.904714223600116,0,1,"[(0.262, 0.757)]",[10082.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.517,0.459,7794.0,73.25430226273404,0,1,"[(0.517, 0.459)]",[7794.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.732,0.489,14118.0,18.527679293424736,0,1,"[(0.732, 0.489)]",[14118.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.137,0.77,8009.0,6.2307558209135525,0,1,"[(0.137, 0.77)]",[8009.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.453,0.172,24927.0,28.327941161515987,0,1,"[(0.453, 0.172)]",[24927.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.071,0.366,17901.0,16.80721571230642,0,1,"[(0.071, 0.366)]",[17901.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.116,0.153,3865.0,21.16335730872588,0,1,"[(0.116, 0.153)]",[3865.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.906,0.241,28958.0,27.919357326868326,0,1,"[(0.906, 0.241)]",[28958.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.453,0.732,36559.0,51.66682007037201,0,1,"[(0.453, 0.732)]",[36559.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.75,0.803,11216.0,35.90528593808361,0,1,"[(0.75, 0.803)]",[11216.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.352,0.524,34162.0,18.53346440349243,0,1,"[(0.352, 0.524)]",[34162.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.454,0.374,21575.0,17.538138941101845,0,1,"[(0.454, 0.374)]",[21575.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.532,0.333,21721.0,19.62838052699267,0,1,"[(0.532, 0.333)]",[21721.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.178,0.143,3603.0,22.333689798150235,0,1,"[(0.178, 0.143)]",[3603.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.067,0.382,51776.0,20.730906878378473,0,2,"[(0.835, 0.896), (0.067, 0.382)]","[39833.0, 51776.0]",4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.577,0.146,30190.0,25.197980568391976,0,1,"[(0.577, 0.146)]",[30190.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.194,0.677,6412.0,11.941696393661065,0,1,"[(0.194, 0.677)]",[6412.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.775,0.06,26025.0,28.121283754480345,0,1,"[(0.775, 0.06)]",[26025.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.156,0.926,42579.0,12.320734556023835,0,1,"[(0.156, 0.926)]",[42579.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.54,0.696,11809.0,24.380783416453223,0,1,"[(0.54, 0.696)]",[11809.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.846,0.911,54195.0,11.33229072735686,0,1,"[(0.846, 0.911)]",[54195.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.775,0.198,32792.0,33.95635433906296,0,1,"[(0.775, 0.198)]",[32792.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.517,0.3,22497.0,66.90293640790365,0,1,"[(0.517, 0.3)]",[22497.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.137,0.783,18914.0,8.625170642940821,0,1,"[(0.137, 0.783)]",[18914.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.735,0.06,71767.0,29.711410618318205,0,1,"[(0.735, 0.06)]",[71767.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.047,0.367,36055.0,16.788948746124632,0,1,"[(0.047, 0.367)]",[36055.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.123,0.138,15504.0,18.18982818574165,0,1,"[(0.123, 0.138)]",[15504.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.923,0.236,31057.0,27.003609346999447,0,1,"[(0.923, 0.236)]",[31057.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.879,0.928,66764.0,56.928849166869654,0,1,"[(0.879, 0.928)]",[66764.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.519,0.762,25237.0,77.36247447797638,0,1,"[(0.519, 0.762)]",[25237.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.115,0.939,69536.0,81.25097409936399,0,1,"[(0.115, 0.939)]",[69536.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.704,0.197,74610.0,52.630488992953424,0,1,"[(0.704, 0.197)]",[74610.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.154,0.912,37177.0,3.3668085778671797,0,1,"[(0.154, 0.912)]",[37177.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.318,0.791,33969.0,17.809425345692475,0,1,"[(0.318, 0.791)]",[33969.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.849,0.56,8796.0,7.400249995777176,0,1,"[(0.849, 0.56)]",[8796.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.767,0.296,18741.0,37.80618071162439,0,1,"[(0.767, 0.296)]",[18741.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.794,0.828,42234.0,83.34034315162259,0,1,"[(0.794, 0.828)]",[42234.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.107,0.3,4110.0,31.42361055003069,0,1,"[(0.107, 0.3)]",[4110.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.126,0.574,11568.0,10.876215427745903,0,1,"[(0.126, 0.574)]",[11568.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.652,0.555,27072.0,20.523207922164737,0,1,"[(0.652, 0.555)]",[27072.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.399,0.382,30166.0,25.066511688201555,0,1,"[(0.399, 0.382)]",[30166.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.487,0.928,24454.0,19.97367766460528,0,1,"[(0.487, 0.928)]",[24454.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.268,0.639,45311.0,97.0609312095597,0,1,"[(0.268, 0.639)]",[45311.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.044,0.516,30384.0,5.0161439373287555,0,1,"[(0.044, 0.516)]",[30384.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.083,0.123,15462.0,12.398985144827614,0,1,"[(0.083, 0.123)]",[15462.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.944,0.942,42766.0,48.154412051233685,0,1,"[(0.944, 0.942)]",[42766.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.438,0.42,28118.0,13.832208789632983,0,1,"[(0.438, 0.42)]",[28118.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.288,0.907,3902.0,7.872972754938249,0,1,"[(0.288, 0.907)]",[3902.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.551,0.667,50000.0,88.99406103780184,0,1,"[(0.551, 0.667)]",[50000.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.08,0.835,40191.0,201.71996752924585,0,1,"[(0.08, 0.835)]",[40191.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.246,0.383,25562.0,31.674474651480363,0,1,"[(0.246, 0.383)]",[25562.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.541,0.124,22949.0,21.606600843260843,0,1,"[(0.541, 0.124)]",[22949.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.067,0.911,40449.0,15.950949814979671,0,1,"[(0.067, 0.911)]",[40449.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.225,0.696,29823.0,40.51027947402726,0,1,"[(0.225, 0.696)]",[29823.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.77,0.451,10052.0,23.447108563744056,0,1,"[(0.77, 0.451)]",[10052.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.699,0.206,13862.0,16.551824672826854,0,1,"[(0.699, 0.206)]",[13862.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.898,0.903,38301.0,106.10997045051988,0,1,"[(0.898, 0.903)]",[38301.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.074,0.205,16046.0,12.32073455602384,0,1,"[(0.074, 0.205)]",[16046.0],8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.093,0.459,7550.0,24.08658280405789,0,1,"[(0.093, 0.459)]",[7550.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.653,0.631,27329.0,33.95785618139645,0,1,"[(0.653, 0.631)]",[27329.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.348,0.303,18022.0,7.51814607165523,0,1,"[(0.348, 0.303)]",[18022.0],8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.334,0.906,21197.0,48.91703055919841,0,1,"[(0.334, 0.906)]",[21197.0],8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.595,0.195,53748.0,8.4970583144992,0,1,"[(0.595, 0.195)]",[53748.0],9,B,a
2,Camel.ico   ,0.679,0.674,0.484,0.476,28787.0,52.80120169087065,0,1,"[(0.484, 0.476)]",[28787.0],9,B,a
3,Camera.ico  ,0.278,0.346,0.353,0.849,56798.0,96.62653569284164,0,1,"[(0.353, 0.849)]",[56798.0],9,B,a
4,Candle.ico  ,0.2318841,0.09118541,0.112,0.236,4230.0,35.71972859694457,0,1,"[(0.112, 0.236)]",[4230.0],9,B,a
5,Cap.ico     ,0.684058,0.9392097,0.737,0.923,20788.0,10.51991024415364,0,1,"[(0.737, 0.923)]",[20788.0],9,B,a
6,Cards.ico   ,0.8231884,0.4650456,0.707,0.473,41199.0,22.12746947887428,0,1,"[(0.707, 0.473)]",[41199.0],9,B,a
7,Carrot.ico  ,0.2753623,0.8054711,0.277,0.45,15400.0,67.5402257797059,0,1,"[(0.277, 0.45)]",[15400.0],9,B,a
8,Caterp.ico  ,0.885,0.221,0.896,0.243,26123.0,4.67338207297456,0,1,"[(0.896, 0.243)]",[26123.0],9,B,a
9,CD.ico      ,0.094,0.557,0.11,0.721,18195.0,31.30794148454988,0,1,"[(0.11, 0.721)]",[18195.0],9,B,a
10,Eagle.ico   ,0.4637681,0.5896657,0.39,0.603,32498.0,14.243077421716489,0,1,"[(0.39, 0.603)]",[32498.0],9,B,a
1,Calcul.ico  ,0.2927536,0.212766,0.096,0.727,49244.0,104.61196848291047,0,1,"[(0.096, 0.727)]",[49244.0],10,NT,a
2,Camel.ico   ,0.6289855,0.08510638,0.877,0.241,21896.0,55.65865492542067,0,1,"[(0.877, 0.241)]",[21896.0],10,NT,a
3,Camera.ico  ,0.3681159,0.556231,0.337,0.854,58721.0,56.88416488827571,0,1,"[(0.337, 0.854)]",[58721.0],10,NT,a
4,Candle.ico  ,0.2637681,0.8632219,0.143,0.213,45077.0,125.65501048960063,0,1,"[(0.143, 0.213)]",[45077.0],10,NT,a
5,Cap.ico     ,0.581,0.461,0.48,0.516,10758.0,21.8508260713411,0,1,"[(0.48, 0.516)]",[10758.0],10,NT,a
6,Cards.ico   ,0.8550724,0.2218845,0.571,0.347,55445.0,58.976874330796484,0,1,"[(0.571, 0.347)]",[55445.0],10,NT,a
7,Carrot.ico  ,0.8869565,0.8449848,0.888,0.855,5693.0,1.9131888957363827,0,1,"[(0.888, 0.855)]",[5693.0],10,NT,a
8,Caterp.ico  ,0.567,0.695,0.491,0.707,24562.0,14.618891886870216,0,1,"[(0.491, 0.707)]",[24562.0],10,NT,a
9,CD.ico      ,0.074,0.421,0.241,0.451,47277.0,32.237910912464535,0,1,"[(0.241, 0.451)]",[47277.0],10,NT,a
10,Eagle.ico   ,0.878,0.575,0.697,0.514,26908.0,36.290497378790505,0,1,"[(0.697, 0.514)]",[26908.0],10,NT,a
1,Calcul.ico  ,0.679,0.674,0.222,0.442,64508.0,97.37810482854964,0,1,"[(0.222, 0.442)]",[64508.0],11,SimRI,a
2,Camel.ico   ,0.278,0.346,0.435,0.35,52501.0,29.83967995806925,0,1,"[(0.435, 0.35)]",[52501.0],11,SimRI,a
3,Camera.ico  ,0.2318841,0.09118541,0.075,0.732,66332.0,125.35046924996881,0,1,"[(0.075, 0.732)]",[66332.0],11,SimRI,a
4,Candle.ico  ,0.684058,0.9392097,0.107,0.208,31916.0,176.9820740714863,0,1,"[(0.107, 0.208)]",[31916.0],11,SimRI,a
5,Cap.ico     ,0.885,0.221,0.704,0.909,9916.0,135.16800841915222,0,1,"[(0.704, 0.909)]",[9916.0],11,SimRI,a
6,Cards.ico   ,0.094,0.557,0.577,0.17,55107.0,117.59419118306822,0,1,"[(0.577, 0.17)]",[55107.0],11,SimRI,a
7,Carrot.ico  ,0.2753623,0.8054711,0.68,0.584,50187.0,87.64358677001788,0,1,"[(0.68, 0.584)]",[50187.0],11,SimRI,a
8,Caterp.ico  ,0.8231884,0.4650456,0.895,0.288,45849.0,36.30046857133544,0,1,"[(0.895, 0.288)]",[45849.0],11,SimRI,a
9,CD.ico      ,0.603,0.239,0.336,0.805,68341.0,118.90493892181267,0,1,"[(0.336, 0.805)]",[68341.0],11,SimRI,a
10,Eagle.ico   ,0.4637681,0.5896657,0.426,0.558,48066.0,9.364409656834212,0,1,"[(0.426, 0.558)]",[48066.0],11,SimRI,a
1,Cloaver.ico ,0.096,0.962,0.048,0.931,16618.0,10.856633916642847,0,1,"[(0.048, 0.931)]",[16618.0],12,B,a
2,Clock.ico   ,0.136,0.728,0.243,0.704,34225.0,20.83512658948824,0,1,"[(0.243, 0.704)]",[34225.0],12,B,a
3,Cola.ico    ,0.7507246,0.224924,0.707,0.35,6217.0,25.174710639923465,0,1,"[(0.707, 0.35)]",[6217.0],12,B,a
4,Compass.ico ,0.4144928,0.5197569,0.476,0.514,20417.0,11.737445187737615,0,1,"[(0.476, 0.514)]",[20417.0],12,B,a
5,Coptr.ico   ,0.3130435,0.7112462,0.301,0.506,40138.0,39.063856070433054,0,1,"[(0.301, 0.506)]",[40138.0],12,B,a
6,crab.ico    ,0.773913,0.7203647,0.42,0.764,32071.0,67.75263891687725,0,1,"[(0.42, 0.764)]",[32071.0],12,B,a
7,Cross.ico   ,0.04347826,0.4255319,0.055,0.464,14200.0,7.629736698574687,0,1,"[(0.055, 0.464)]",[14200.0],12,B,a
8,Cube.ico    ,0.5217391,0.8601823,0.628,0.914,29339.0,22.631323992329975,0,1,"[(0.628, 0.914)]",[29339.0],12,B,a
9,Cup.ico     ,0.915942,0.449848,0.855,0.481,11849.0,13.00407314247348,0,1,"[(0.855, 0.481)]",[11849.0],12,B,a
10,Cupb.ico    ,0.4637681,0.1337386,0.462,0.285,3866.0,28.741629334525847,0,1,"[(0.462, 0.285)]",[3866.0],12,B,a
1,Cutlery.ico ,0.08985507,0.9057751,0.058,0.937,5064.0,8.47523504784427,0,1,"[(0.058, 0.937)]",[5064.0],13,NT,a
2,Dart.ico    ,0.4028986,0.4650456,0.476,0.442,10386.0,14.56311808795259,0,1,"[(0.476, 0.442)]",[10386.0],13,NT,a
3,Desk.ico    ,0.871,0.156,0.762,0.263,37025.0,29.020906257386244,0,1,"[(0.762, 0.263)]",[37025.0],13,NT,a
4,D'fly.ico   ,0.629,0.614,0.541,0.598,25942.0,16.9941166289984,0,1,"[(0.541, 0.598)]",[25942.0],13,NT,a
5,Diamond.ico ,0.099,0.282,0.06,0.39,21914.0,21.816931498265294,0,1,"[(0.06, 0.39)]",[21914.0],13,NT,a
