object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.557,0.775,20692.0,41.71354696019029,0,1,"[(0.557, 0.775)]",[20692.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.307,0.498,16250.0,39.482073147189226,0,2,"[(-1.0, -1.0), (0.307, 0.498)]","[7875.0, 16250.0]",0,P,a
1,Hat.ico     ,0.381,0.357,0.708,0.565,7520.0,73.63400912621829,0,1,"[(0.708, 0.565)]",[7520.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.382,0.345,4201.0,85.60738811574618,0,1,"[(0.382, 0.345)]",[4201.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.303,0.404,9990.0,46.565507620984874,0,1,"[(0.303, 0.404)]",[9990.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.671,0.644,13072.0,69.77761317213424,0,1,"[(0.671, 0.644)]",[13072.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.38,0.371,55496.0,86.86657872853056,0,1,"[(0.38, 0.371)]",[55496.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.066,0.107,19356.0,120.57255952338346,0,1,"[(0.066, 0.107)]",[19356.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.088,0.281,51573.0,100.69465035626426,0,1,"[(0.088, 0.281)]",[51573.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.077,0.473,13413.0,37.09625318007197,0,1,"[(0.077, 0.473)]",[13413.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.551,0.071,37911.0,80.08997150113618,0,1,"[(0.551, 0.071)]",[37911.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.887,0.075,24924.0,6.150430719011153,0,1,"[(0.887, 0.075)]",[24924.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.756,0.588,33101.0,17.934833587859025,0,1,"[(0.756, 0.588)]",[33101.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.884,0.855,5954.0,14.31063365248182,0,1,"[(0.884, 0.855)]",[5954.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.113,0.724,43844.0,44.9312175696978,0,1,"[(0.113, 0.724)]",[43844.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.451,0.693,58744.0,77.98692340320518,0,1,"[(0.451, 0.693)]",[58744.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.301,0.347,18298.0,24.666587234808656,0,1,"[(0.301, 0.347)]",[18298.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.088,0.094,3708.0,18.548126590035988,0,1,"[(0.088, 0.094)]",[3708.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.083,0.337,43474.0,29.80154693971438,0,1,"[(0.083, 0.337)]",[43474.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.467,0.099,6012.0,10.293678792009214,0,1,"[(0.467, 0.099)]",[6012.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.303,0.228,54487.0,99.11020511813291,0,1,"[(0.303, 0.228)]",[54487.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.498,0.513,57904.0,73.87262551175503,0,3,"[(0.885, 0.091), (0.091, 0.54), (0.498, 0.513)]","[8306.0, 38012.0, 57904.0]",4,NT,a
7,Ant.ico     ,0.217,0.948,0.078,0.843,12640.0,33.098196325479734,0,1,"[(0.078, 0.843)]",[12640.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.115,0.633,70648.0,59.620050318663765,0,1,"[(0.115, 0.633)]",[70648.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.642,0.21,65052.0,146.87443018316478,0,1,"[(0.642, 0.21)]",[65052.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.874,0.097,40896.0,26.29561560412686,0,1,"[(0.874, 0.097)]",[40896.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.432,0.454,26728.0,75.0906345691658,0,1,"[(0.432, 0.454)]",[26728.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.061,0.097,53778.0,122.55809103368021,0,1,"[(0.061, 0.097)]",[53778.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.705,0.227,36936.0,27.097355178878836,0,1,"[(0.705, 0.227)]",[36936.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.262,0.631,62009.0,77.58726248553947,0,1,"[(0.262, 0.631)]",[62009.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.402,0.203,65862.0,59.93011934342199,0,1,"[(0.402, 0.203)]",[65862.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.789,0.5,68762.0,80.61917524031958,0,1,"[(0.789, 0.5)]",[68762.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.08,0.813,33151.0,124.18855401422547,0,1,"[(0.08, 0.813)]",[33151.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.803,0.77,30135.0,34.605567843275516,0,1,"[(0.803, 0.77)]",[30135.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.091,0.39,41995.0,41.59722871076294,0,1,"[(0.091, 0.39)]",[41995.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.885,0.082,51109.0,92.64906907517955,0,1,"[(0.885, 0.082)]",[51109.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.59,0.609,69537.0,103.52489603955176,0,1,"[(0.59, 0.609)]",[69537.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.38,0.81,22079.0,17.635245633781054,0,1,"[(0.38, 0.81)]",[22079.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.075,0.814,52208.0,160.29886867972587,0,1,"[(0.075, 0.814)]",[52208.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.772,0.143,13748.0,26.23720450047985,0,1,"[(0.772, 0.143)]",[13748.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.377,0.587,62254.0,28.31547417667953,0,2,"[(0.083, 0.571), (0.377, 0.587)]","[44093.0, 62254.0]",6,B,a
6,Bomb.ico    ,0.055,0.143,0.067,0.173,3701.0,6.139087880133335,0,1,"[(0.067, 0.173)]",[3701.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.083,0.505,59262.0,15.148073701851919,0,1,"[(0.083, 0.505)]",[59262.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.772,0.402,25550.0,17.228919634626102,0,1,"[(0.772, 0.402)]",[25550.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.396,0.2,18407.0,16.329357180695908,0,1,"[(0.396, 0.2)]",[18407.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.783,0.737,36008.0,49.68902724837298,0,1,"[(0.783, 0.737)]",[36008.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.383,0.388,14122.0,45.758845055867404,0,1,"[(0.383, 0.388)]",[14122.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.113,0.614,9963.0,17.76068129323872,0,1,"[(0.113, 0.614)]",[9963.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.077,0.083,25803.0,4.981258887636323,0,1,"[(0.077, 0.083)]",[25803.0],7,NT,a
