trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,34.04043253697858,34.04043253697858,29826.0,01,0,0,7,a
1,P,2,6000,48.71514235289313,48.71514235289313,7087.0,01,0,0,3,a
2,P,2,0,190.1438198598451,92.263155022441,8714.0,10,1,0,2,a
3,B,10,30000,130.39806979750742,130.39806979750742,29677.0,0123456789,0,0,14,a
4,NT,10,30000,573.3164207603661,312.74580251382423,52630.0,1269354780,0,7,11,a
5,SimRI,10,0,406.9957505043271,232.54368784068288,36373.0,0124358769,2,0,10,a
6,B,10,30000,178.4121502956496,178.4121502956496,46615.0,0123456789,0,0,22,a
7,NT,10,30000,547.9239819462655,385.9842339434623,35116.0,7126435980,0,6,15,a
8,DivRI,10,0,247.87043442801732,227.28057834526712,28929.0,4023156789,0,3,14,a
9,B,10,30000,240.485458113726,200.9180926949888,40034.0,0923456781,1,0,13,a
10,NT,10,30000,379.04620974487375,200.13840987233422,38440.0,4023956781,0,4,14,a
11,SimRI,10,0,968.6646197620028,320.89786492824516,30814.0,1239546708,1,6,14,a
12,B,10,30000,392.4546044022122,196.5646870694437,32435.0,0523416789,1,0,12,a
13,NT,10,30000,471.7793606824864,202.9462519832677,29521.0,0153496728,0,4,11,a
14,DivRI,10,0,409.57965122584403,247.58344587301514,25867.0,0423516789,0,3,10,a
15,DB,10,30000,372.941660945817,279.82469748661094,42128.0,0327146598,1,5,19,b
16,D,10,0,1427.3419545025147,326.42560710762694,23201.0,6574291830,0,10,10,b
17,DB,10,30000,262.01087537715335,255.944511367066,57973.0,0523916784,2,0,17,b
18,D,10,0,288.2668129947127,263.25126395727926,40161.0,0153624789,2,0,13,b
19,C,10,3000,84.60584631557141,84.60584631557141,62033.0,0123456789,0,0,16,b
