trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,37.093319098214316,37.093319098214316,12305.0,01,0,0,2,a
1,P,2,6000,54.50456999324597,54.50456999324597,5602.0,01,0,0,2,a
2,P,2,0,142.02881532283553,75.88612818993016,16142.0,10,1,0,2,a
3,B,10,30000,577.0176457654401,245.47482864079177,44040.0,0164385792,1,5,10,a
4,NT,10,30000,637.4068601862131,331.9915800522458,45363.0,0372891465,1,7,11,a
5,SimRI,10,0,811.8925159297468,251.52156724094223,46077.0,5234810679,0,9,10,a
6,B,10,30000,368.8971344809699,224.26387508336535,38730.0,0123468759,0,3,10,a
7,NT,10,30000,250.94398799712098,250.94398799712098,45617.0,0123456789,0,0,13,a
8,DivRI,10,0,504.50051422570425,228.9238304119904,49557.0,0428157369,1,4,11,a
9,B,10,30000,271.2122938951776,229.3263303196701,35288.0,0193458726,0,4,10,a
10,NT,10,30000,370.5594806029314,238.80929019729376,38257.0,1528476309,0,6,11,a
11,SimRI,10,0,893.3420471723484,240.03178690856035,69540.0,9206184735,0,9,14,a
12,B,10,30000,378.9049007219284,284.75317209281513,30570.0,0324651789,0,4,10,a
13,NT,10,30000,537.8280987785472,368.93034194953384,35410.0,0123495786,0,3,12,a
14,DivRI,10,0,681.3136506779065,406.7517192718319,49293.0,0673429158,0,7,10,a
15,DB,10,30000,355.91835716111524,273.21980377262724,39925.0,0123476598,2,0,10,b
16,D,10,0,1203.965120594325,263.00437881845534,38095.0,6537094812,0,10,10,b
17,DB,10,30000,366.4222467540618,270.6440676571172,33553.0,0253476189,0,4,10,b
18,D,10,0,412.85558927021674,275.35860705949614,61826.0,7216453089,3,0,13,b
19,C,10,3000,61.34469177522131,61.34469177522131,88475.0,0123456789,0,0,16,b
