object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.279,0.803,20268.0,20268.0,11.406331575050762,11.406331575050762,0,1,"[(0.279, 0.803)]",[20268.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.554,0.489,7752.0,7752.0,11.420564784633036,11.420564784633036,0,1,"[(0.554, 0.489)]",[7752.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.304,0.435,7355.0,7355.0,20.82472808946134,20.82472808946134,0,1,"[(0.304, 0.435)]",[7355.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.772,0.538,11717.0,11717.0,20.565689874156906,20.565689874156906,0,1,"[(0.772, 0.538)]",[11717.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.309,0.68,18225.0,14019.0,47.73237161507901,55.155334284183255,0,2,"[(0.309, 0.683), (0.309, 0.68)]","[14019.0, 18225.0]",2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.802,0.519,11148.0,11148.0,103.00260821940384,23.686073967629167,0,1,"[(0.802, 0.519)]",[11148.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.723,0.446,37111.0,23768.0,20.15881196896285,20.15881196896285,0,2,"[(-1.0, -1.0), (0.723, 0.446)]","[23768.0, 37111.0]",3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.162,0.822,15555.0,15555.0,17.14534278397046,17.14534278397046,0,1,"[(0.162, 0.822)]",[15555.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.445,0.565,47908.0,47908.0,86.88657226252116,28.190251153374145,0,1,"[(0.445, 0.565)]",[47908.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.238,0.446,31860.0,31860.0,47.07170912554589,47.07170912554589,0,1,"[(0.238, 0.446)]",[31860.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.112,0.088,43357.0,43357.0,9.318244656951286,9.318244656951286,0,1,"[(0.112, 0.088)]",[43357.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.884,0.167,8117.0,8117.0,14.887730234033532,14.887730234033532,0,1,"[(0.884, 0.167)]",[8117.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.83,0.664,19869.0,19869.0,21.219221940122953,21.219221940122953,0,1,"[(0.83, 0.664)]",[19869.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.877,0.854,12517.0,12517.0,14.662195869498714,14.662195869498714,0,1,"[(0.877, 0.854)]",[12517.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.579,0.281,62597.0,62597.0,78.20568545531405,36.534976110783504,0,1,"[(0.579, 0.281)]",[62597.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.312,0.238,56234.0,56234.0,25.862745986406647,25.862745986406647,0,1,"[(0.312, 0.238)]",[56234.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.557,0.69,57291.0,57291.0,73.45074746666928,56.338470258895256,0,1,"[(0.557, 0.69)]",[57291.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.096,0.121,18202.0,18202.0,21.500244184659856,21.500244184659856,0,1,"[(0.096, 0.121)]",[18202.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.083,0.492,24194.0,24194.0,9.379536235870088,9.379536235870088,0,1,"[(0.083, 0.492)]",[24194.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.554,0.097,14821.0,14821.0,15.707235802045515,15.707235802045515,0,1,"[(0.554, 0.097)]",[14821.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.138,0.745,33409.0,33409.0,5.025481075317867,5.025481075317867,0,1,"[(0.138, 0.745)]",[33409.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.727,0.326,7017.0,7017.0,23.756839015323564,23.756839015323564,0,1,"[(0.727, 0.326)]",[7017.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.096,0.911,21344.0,21344.0,24.040819453587677,24.040819453587677,0,1,"[(0.096, 0.911)]",[21344.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.382,0.618,48689.0,42594.0,21.274910105568008,27.78745940167976,0,2,"[(-1.0, -1.0), (0.382, 0.618)]","[42594.0, 48689.0]",4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.909,0.939,53737.0,53737.0,1.9857667509901553,1.9857667509901553,0,1,"[(0.909, 0.939)]",[53737.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.876,0.071,11770.0,11770.0,24.250134020248215,24.250134020248215,0,1,"[(0.876, 0.071)]",[11770.0],4,NT,a
