object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
9,AUTO.ICO    ,0.2550725,0.5349544,0.642,0.675,41182.0,41182.0,78.18347867750272,72.06920355946441,0,1,"[(0.642, 0.675)]",[41182.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.525,0.394,12865.0,12865.0,26.545718076130342,26.545718076130342,0,1,"[(0.525, 0.394)]",[12865.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.135,0.854,20822.0,20822.0,14.496140865761493,14.496140865761493,0,1,"[(0.135, 0.854)]",[20822.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.472,0.858,3625.0,3625.0,28.447903762558568,28.447903762558568,0,1,"[(0.472, 0.858)]",[3625.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.475,0.183,24956.0,24956.0,99.10972606157279,20.361937530598603,0,1,"[(0.475, 0.183)]",[24956.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.854,0.314,5543.0,5543.0,52.36422060911438,46.20165581448353,0,1,"[(0.854, 0.314)]",[5543.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.862,0.633,28873.0,28873.0,96.37926318088452,53.7956729565697,0,1,"[(0.862, 0.633)]",[28873.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.08,0.183,2433.0,2433.0,8.962282075453775,8.962282075453775,0,1,"[(0.08, 0.183)]",[2433.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.113,0.585,13294.0,13294.0,8.256978286076452,8.256978286076452,0,1,"[(0.113, 0.585)]",[13294.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.877,0.157,33614.0,33614.0,66.36465712920096,39.984519827258204,0,1,"[(0.877, 0.157)]",[33614.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.476,0.475,8917.0,8917.0,47.71602123013553,30.097251758171293,0,1,"[(0.476, 0.475)]",[8917.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.745,0.854,18831.0,18831.0,31.410607827445055,31.410607827445055,0,1,"[(0.745, 0.854)]",[18831.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.532,0.344,34083.0,34083.0,25.629950621623923,25.629950621623923,0,1,"[(0.532, 0.344)]",[34083.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.075,0.661,16635.0,16635.0,23.731752990455636,23.731752990455636,0,1,"[(0.075, 0.661)]",[16635.0],7,NT,a
