object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
4,BLUSSER.ICO ,0.634,0.148,0.759,0.134,23218.0,23.898495768562505,0,2,"[(0.77, 0.258), (0.759, 0.134)]","[7931.0, 23218.0]",6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.367,0.696,14619.0,7.524463576242837,0,1,"[(0.367, 0.696)]",[14619.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.093,0.115,22193.0,8.968322028116518,0,2,"[(0.067, 0.258), (0.093, 0.115)]","[6786.0, 22193.0]",6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.075,0.576,44282.0,1.7731534769269148,0,3,"[(0.094, 0.562), (0.099, 0.426), (0.075, 0.576)]","[12675.0, 25930.0, 44282.0]",6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.756,0.461,41113.0,10.371831104313491,0,4,"[(0.74, 0.522), (0.712, 0.885), (0.791, 0.546), (0.756, 0.461)]","[16490.0, 35458.0, 37170.0, 41113.0]",6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.391,0.364,46615.0,21.33007646903182,0,3,"[(0.438, 0.404), (0.394, 0.26), (0.391, 0.364)]","[9172.0, 24299.0, 46615.0]",6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.688,0.735,39850.0,38.80456215871468,0,3,"[(0.862, 0.89), (0.751, 0.881), (0.688, 0.735)]","[3707.0, 38697.0, 39850.0]",6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.768,0.151,2648.0,43.82791010653921,0,1,"[(0.768, 0.151)]",[2648.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.077,0.701,31863.0,31.32696123150152,0,2,"[(0.072, 0.603), (0.077, 0.701)]","[5927.0, 31863.0]",7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.077,0.108,7224.0,9.641074541027875,0,1,"[(0.077, 0.108)]",[7224.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.814,0.887,35116.0,43.505021549241896,0,3,"[(-1.0, -1.0), (0.904, 0.836), (0.814, 0.887)]","[19508.0, 24113.0, 35116.0]",7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.609,0.546,9113.0,53.81563434542048,0,1,"[(0.609, 0.546)]",[9113.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.197,0.931,33263.0,10.061033744104032,0,2,"[(0.532, 0.893), (0.197, 0.931)]","[16071.0, 33263.0]",7,NT,a
7,Butterf.ico ,0.109,0.822,0.87,0.648,13068.0,148.32137978052927,0,1,"[(0.87, 0.648)]",[13068.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.437,0.233,4437.0,88.58483843186711,0,1,"[(0.437, 0.233)]",[4437.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.091,0.377,28668.0,27.32006484193023,0,1,"[(0.091, 0.377)]",[28668.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.849,0.336,21536.0,91.52006337410393,0,2,"[(0.9, 0.843), (0.849, 0.336)]","[14685.0, 21536.0]",7,NT,a
1,Bike.ico    ,0.149,0.929,0.304,0.868,17499.0,31.64854814995469,0,1,"[(0.304, 0.868)]",[17499.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.322,0.783,8869.0,19.29122590671193,0,1,"[(0.322, 0.783)]",[8869.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.874,0.443,5652.0,15.81115112823858,0,1,"[(0.874, 0.443)]",[5652.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.832,0.173,4324.0,37.91868800472927,0,1,"[(0.832, 0.173)]",[4324.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.244,0.761,10409.0,23.532966677624927,0,1,"[(0.244, 0.761)]",[10409.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.083,0.138,26156.0,5.4041558082645995,0,3,"[(0.099, 0.145), (0.835, 0.138), (0.083, 0.138)]","[3005.0, 23971.0, 26156.0]",8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.077,0.462,19381.0,23.14460291749974,0,1,"[(0.077, 0.462)]",[19381.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.798,0.454,7270.0,18.368887902548835,0,1,"[(0.798, 0.454)]",[7270.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.462,0.333,28929.0,26.73383559900721,0,3,"[(0.405, 0.358), (0.467, 0.249), (0.462, 0.333)]","[11639.0, 20739.0, 28929.0]",8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.8,0.792,13702.0,46.01637233343751,0,1,"[(0.8, 0.792)]",[13702.0],8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.611,0.181,40034.0,11.12433368791138,0,3,"[(0.577, 0.21), (0.577, 0.108), (0.611, 0.181)]","[5736.0, 34017.0, 40034.0]",9,B,a
