trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,28.710002633424573,28.710002633424573,12975.0,01,0,0,2,a
1,P,2,6000,8.526919429355141,8.526919429355141,4372.0,01,0,0,2,a
2,P,2,0,127.87350404848337,65.96971773024282,8930.0,10,1,0,2,a
3,B,10,30000,117.40328737963777,117.40328737963777,23576.0,0123456789,0,0,10,a
4,NT,10,30000,356.475893097006,269.4836524726285,40594.0,3125604789,1,3,10,a
5,SimRI,10,0,213.37546050461867,213.37546050461867,31964.0,0123456789,0,0,10,a
6,B,10,30000,134.3847736304912,134.3847736304912,26614.0,0123456789,0,0,11,a
7,NT,10,30000,192.59394870774995,192.59394870774995,25553.0,0123456789,0,0,10,a
8,DivRI,10,0,125.28071322684313,125.28071322684313,26378.0,0123456789,0,0,11,a
9,B,10,30000,302.08814950029614,182.70630274233667,27322.0,2103456798,2,0,10,a
10,NT,10,30000,121.02963567269246,121.02963567269246,25218.0,0123456789,0,0,10,a
11,SimRI,10,0,603.8013745006391,231.15971564050173,48684.0,1423679580,1,5,10,a
12,B,10,30000,263.14228109551647,218.008271068366,45183.0,0423756189,0,3,13,a
13,NT,10,30000,219.6896342582269,219.6896342582269,22416.0,0123456789,0,0,10,a
14,DivRI,10,0,445.2485893046894,256.3571947135733,53998.0,0624713859,0,7,13,a
15,DB,10,30000,168.4392517454825,168.4392517454825,24949.0,0123456789,0,0,11,b
16,D,10,0,292.8781798973445,264.7265779124223,35964.0,0423156789,1,0,12,b
17,DB,10,30000,220.0102526450156,199.05838918156292,36827.0,0126453789,1,0,12,b
18,D,10,0,195.82307861238104,188.72870939176417,24569.0,0126453789,1,0,10,b
19,C,10,3000,66.09376787266795,66.09376787266795,93598.0,0123456789,0,0,17,b
