object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.247,0.781,12305.0,17.888275489828533,0,1,"[(0.247, 0.781)]",[12305.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.603,0.576,5311.0,19.205043608385783,0,1,"[(0.603, 0.576)]",[5311.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.492,0.375,3080.0,21.36549788795009,0,1,"[(0.492, 0.375)]",[3080.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.783,0.612,5602.0,33.13907210529588,0,1,"[(0.783, 0.612)]",[5602.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.255,0.612,16142.0,51.141068623954276,0,1,"[(0.255, 0.612)]",[16142.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.699,0.486,13982.0,90.88774669888126,0,1,"[(0.699, 0.486)]",[13982.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.783,0.554,5841.0,18.523782011241654,0,1,"[(0.783, 0.554)]",[5841.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.107,0.712,44040.0,6.385219258557062,0,1,"[(0.107, 0.712)]",[44040.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.415,0.276,37641.0,43.90571775760319,0,1,"[(0.415, 0.276)]",[37641.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.091,0.178,27914.0,20.372572248000505,0,1,"[(0.091, 0.178)]",[27914.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.042,0.416,24073.0,72.91724582280106,0,1,"[(0.042, 0.416)]",[24073.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.494,0.816,40952.0,158.57395003008958,0,1,"[(0.494, 0.816)]",[40952.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.652,0.397,14958.0,54.28315288838883,0,1,"[(0.652, 0.397)]",[14958.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.876,0.873,9793.0,11.162186962040415,0,1,"[(0.876, 0.873)]",[9793.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.843,0.15,18744.0,133.52129319181836,0,1,"[(0.843, 0.15)]",[18744.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.421,0.584,34817.0,57.37252559489944,0,1,"[(0.421, 0.584)]",[34817.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.415,0.367,16634.0,8.369697749167825,0,1,"[(0.415, 0.367)]",[16634.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.094,0.854,37873.0,157.61459132961008,0,1,"[(0.094, 0.854)]",[37873.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.086,0.296,14429.0,37.42758875482096,0,1,"[(0.086, 0.296)]",[14429.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.202,0.112,10559.0,55.46427801640494,0,1,"[(0.202, 0.112)]",[10559.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.281,0.765,45363.0,24.06562788415001,0,1,"[(0.281, 0.765)]",[45363.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.854,0.096,5201.0,30.871930616662123,0,1,"[(0.854, 0.096)]",[5201.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.524,0.795,31873.0,65.17249266369977,0,1,"[(0.524, 0.795)]",[31873.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.08,0.532,35456.0,73.45754828470658,0,2,"[(0.06, 0.794), (0.08, 0.532)]","[19713.0, 35456.0]",4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.183,0.656,41855.0,146.21614629667047,0,1,"[(0.183, 0.656)]",[41855.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.577,0.112,7945.0,38.74695859032036,0,1,"[(0.577, 0.112)]",[7945.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.577,0.645,29889.0,58.30988252432001,0,1,"[(0.577, 0.645)]",[29889.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.819,0.198,17822.0,166.76464551199047,0,1,"[(0.819, 0.198)]",[17822.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.099,0.65,39052.0,136.30177271411517,0,1,"[(0.099, 0.65)]",[39052.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.453,0.112,20527.0,82.00717834433765,0,1,"[(0.453, 0.112)]",[20527.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.115,0.382,43846.0,64.56153306973744,0,1,"[(0.115, 0.382)]",[43846.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.814,0.472,12972.0,74.20311918781687,0,1,"[(0.814, 0.472)]",[12972.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.817,0.794,10006.0,29.34290501815039,0,1,"[(0.817, 0.794)]",[10006.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.311,0.838,46077.0,111.36561396802671,0,1,"[(0.311, 0.838)]",[46077.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.107,0.17,33922.0,74.83134486306872,0,1,"[(0.107, 0.17)]",[33922.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.426,0.356,23438.0,14.204520728183438,0,1,"[(0.426, 0.356)]",[23438.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.126,0.912,3656.0,5.434132865508535,0,1,"[(0.126, 0.912)]",[3656.0],6,B,a
