object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
9,AUTO.ICO    ,0.2550725,0.5349544,0.394,0.729,56815.0,31418.0,45.34378766044496,45.34378766044496,0,2,"[(-1.0, -1.0), (0.394, 0.729)]","[31418.0, 56815.0]",5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.427,0.288,48745.0,48745.0,2.771435162040241,2.771435162040241,0,1,"[(0.427, 0.288)]",[48745.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.123,0.895,18957.0,18957.0,8.132355132432428,8.132355132432428,0,1,"[(0.123, 0.895)]",[18957.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.322,0.888,15991.0,15991.0,0.8329276581996813,0.8329276581996813,0,1,"[(0.322, 0.888)]",[15991.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.705,0.642,7253.0,7253.0,38.01187314511086,38.01187314511086,0,1,"[(0.705, 0.642)]",[7253.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.453,0.107,26460.0,26460.0,35.26125635878563,35.26125635878563,0,1,"[(0.453, 0.107)]",[26460.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.522,0.805,34295.0,34295.0,32.57953099985028,32.57953099985028,0,1,"[(0.522, 0.805)]",[34295.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.123,0.123,21580.0,21580.0,13.467234311468706,13.467234311468706,0,1,"[(0.123, 0.123)]",[21580.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.099,0.653,3727.0,3727.0,14.325328384534101,14.325328384534101,0,1,"[(0.099, 0.653)]",[3727.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.59,0.484,10691.0,10691.0,21.702972028190185,21.702972028190185,0,1,"[(0.59, 0.484)]",[10691.0],6,B,a
