index,obj_name,correct_x,correct_y,placed_x_final,placed_y_final,time_ms_final,placed,distance,correct_binary,participant,group,trial,run
1,Box.ico     ,0.5449275,0.2097264,0.622,0.415,12404.0,1,0.2192656405212864,0,controle12,HC,7,a
2,BRAIN.ICO   ,0.06,0.537,0.064,0.601,21945.0,1,0.06412487816752553,1,controle12,HC,7,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.064,0.127,3192.0,1,0.07209562678206287,1,controle12,HC,7,a
4,BRIL.ICO    ,0.929,0.689,0.909,0.925,24344.0,1,0.2368459414893995,0,controle12,HC,7,a
5,BTRHAM.ICO  ,0.37,0.394,0.328,0.355,9412.0,1,0.05731491952362841,1,controle12,HC,7,a
6,Bus.ico     ,0.249,0.921,0.132,0.939,5256.0,1,0.11837651794169313,0,controle12,HC,7,a
7,Butterf.ico ,0.109,0.822,0.287,0.713,20290.0,1,0.20872230355187246,0,controle12,HC,7,a
8,Cactus.ico  ,0.897,0.157,0.922,0.225,14786.0,1,0.07244998274671983,1,controle12,HC,7,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.08,0.374,16427.0,1,0.14606387536115834,0,controle12,HC,7,a
10,Cake.ico    ,0.477,0.03,0.337,0.127,7769.0,1,0.17032028651925168,0,controle12,HC,7,a
1,Bike.ico    ,0.149,0.929,0.154,0.92,8960.0,1,0.01029563014098701,1,controle12,HC,8,a
2,black.ico   ,0.3246377,0.8844985,0.287,0.715,12986.0,1,0.17362700816272794,0,controle12,HC,8,a
3,BLAD.ICO    ,0.868,0.526,0.87,0.503,18938.0,1,0.02308679276123041,1,controle12,HC,8,a
4,BLUSSER.ICO ,0.634,0.148,0.104,0.21,7233.0,1,0.5336140927674231,0,controle12,HC,8,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.271,0.424,36972.0,1,0.3254965210936209,0,controle12,HC,8,a
6,Bomb.ico    ,0.055,0.143,0.069,0.082,24580.0,1,0.06258594091327539,1,controle12,HC,8,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.099,0.5,21265.0,1,0.08861786818641088,1,controle12,HC,8,a
8,Boot.ico    ,0.7014493,0.4589666,0.639,0.371,32787.0,1,0.1078797376065126,0,controle12,HC,8,a
9,bottle.ico  ,0.3391304,0.2644377,0.448,0.391,14779.0,1,0.16694491781857274,0,controle12,HC,8,a
10,Bow.ico     ,0.5913044,0.9148936,0.352,0.898,38788.0,1,0.23989995744126338,0,controle12,HC,8,a
1,Calcul.ico  ,0.603,0.239,0.394,0.21,3989.0,1,0.2110023696549401,0,controle12,HC,9,a
2,Camel.ico   ,0.679,0.674,0.821,0.266,25842.0,1,0.4320046296048226,0,controle12,HC,9,a
3,Camera.ico  ,0.278,0.346,0.104,0.355,5610.0,1,0.17423260314877928,0,controle12,HC,9,a
4,Candle.ico  ,0.2318841,0.09118541,0.082,0.208,7834.0,1,0.19002866065327648,0,controle12,HC,9,a
5,Cap.ico     ,0.684058,0.9392097,0.614,0.928,14449.0,1,0.0709491419122882,1,controle12,HC,9,a
6,Cards.ico   ,0.8231884,0.4650456,0.806,0.576,24003.0,1,0.11227786947533333,0,controle12,HC,9,a
7,Carrot.ico  ,0.2753623,0.8054711,0.225,0.775,18635.0,1,0.05886296965410425,1,controle12,HC,9,a
8,Caterp.ico  ,0.885,0.221,0.609,0.405,21155.0,1,0.33171071734268703,0,controle12,HC,9,a
9,CD.ico      ,0.094,0.557,0.107,0.576,11257.0,1,0.023021728866442596,1,controle12,HC,9,a
10,Eagle.ico   ,0.4637681,0.5896657,0.405,0.675,16800.0,1,0.10361289656263845,0,controle12,HC,9,a
1,Calcul.ico  ,0.2927536,0.212766,0.279,0.257,3665.0,1,0.046322869826469076,1,controle12,HC,10,a
2,Camel.ico   ,0.6289855,0.08510638,0.667,0.183,15936.0,1,0.10501553716928941,0,controle12,HC,10,a
3,Camera.ico  ,0.3681159,0.556231,0.382,0.547,7162.0,1,0.01667272004833045,1,controle12,HC,10,a
4,Candle.ico  ,0.2637681,0.8632219,0.194,0.876,8881.0,1,0.07092860929991508,1,controle12,HC,10,a
5,Cap.ico     ,0.581,0.461,0.571,0.765,19753.0,1,0.30416442921551495,0,controle12,HC,10,a
6,Cards.ico   ,0.8550724,0.2218845,0.893,0.32,12188.0,1,0.1051910366048838,0,controle12,HC,10,a
7,Carrot.ico  ,0.8869565,0.8449848,0.893,0.901,13746.0,1,0.05634027443392519,1,controle12,HC,10,a
8,Caterp.ico  ,0.567,0.695,0.642,0.402,18025.0,1,0.3024466895173428,0,controle12,HC,10,a
9,CD.ico      ,0.074,0.421,0.088,0.516,5577.0,1,0.09602603813549743,1,controle12,HC,10,a
10,Eagle.ico   ,0.878,0.575,0.745,0.571,25571.0,1,0.13306013678032952,0,controle12,HC,10,a
1,Calcul.ico  ,0.603,0.239,0.263,0.225,18910.0,1,0.3402881132217227,0,controle12,HC,11,a
2,Camel.ico   ,0.679,0.674,0.535,0.219,54215.0,1,0.4772431246230794,0,controle12,HC,11,a
3,Camera.ico  ,0.278,0.346,0.083,0.32,21169.0,1,0.19672569735548023,0,controle12,HC,11,a
4,Candle.ico  ,0.2318841,0.09118541,0.066,0.118,15981.0,1,0.16803736748020692,0,controle12,HC,11,a
5,Cap.ico     ,0.684058,0.9392097,0.609,0.65,49927.0,1,0.2987908197018275,0,controle12,HC,11,a
6,Cards.ico   ,0.8231884,0.4650456,0.798,0.284,46001.0,1,0.182789400058975,0,controle12,HC,11,a
