trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,46.106156380359835,46.106156380359835,9618.0,01,0,0,2,a
1,P,2,6000,80.68073529537648,80.68073529537648,6139.0,01,0,0,2,a
2,P,2,0,163.05479469117165,77.97249627239955,14200.0,10,1,0,2,a
3,B,10,30000,526.0762671165439,371.3714934948739,167244.0,0853246719,1,3,10,a
4,NT,10,30000,871.1124142629037,404.61061243309905,159356.0,2389076451,0,9,13,a
5,SimRI,10,0,642.5861670248393,283.8808828222216,179872.0,4893256017,1,5,11,a
6,B,10,30000,295.20750427230456,258.67256004556646,121058.0,0473156289,2,0,11,a
7,NT,10,30000,405.4305921333942,299.7069911046913,214263.0,0523641789,0,4,10,a
8,DivRI,10,0,844.691703434456,349.3467468386485,219200.0,6915832047,2,6,11,a
9,B,10,30000,560.7729791532422,321.0995927481288,252627.0,5103467982,0,6,15,a
10,NT,10,30000,531.5064333712427,247.54940163510497,186135.0,6503214789,1,4,11,a
11,SimRI,10,0,1004.4710178001609,262.4995785710383,218203.0,2704183695,1,8,14,a
12,B,10,30000,530.1657211370956,350.52789595426924,164942.0,1690274583,1,7,10,a
13,NT,10,30000,390.2825937022558,310.9739663792804,178075.0,0621475389,0,5,13,a
14,DivRI,10,0,694.0159505401759,435.1898658562973,156457.0,4690127583,0,9,11,a
15,DB,10,30000,498.6275748924122,263.67560110680387,178077.0,4183296507,0,7,10,b
16,D,10,0,1142.986751324694,369.31535395209323,212951.0,6230147958,0,10,12,b
17,DB,10,30000,265.0534896738531,265.0534896738531,162106.0,0123456789,0,0,12,b
18,D,10,0,480.0441750910163,231.98264761880037,231197.0,2357604189,1,6,11,b
19,C,10,3000,93.14375374823294,93.14375374823294,154042.0,0123456789,0,0,14,b
