object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.23,0.688,11958.0,11958.0,29.830605089404422,29.830605089404422,0,1,"[(0.23, 0.688)]",[11958.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.74,0.727,4697.0,4697.0,57.002849928753555,57.002849928753555,0,1,"[(0.74, 0.727)]",[4697.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.232,0.514,4657.0,4657.0,41.12523556163539,41.12523556163539,0,1,"[(0.232, 0.514)]",[4657.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.843,0.547,9956.0,9956.0,20.34508785923522,20.34508785923522,0,1,"[(0.843, 0.547)]",[9956.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.775,0.81,16642.0,16642.0,72.7114385774343,72.7114385774343,0,1,"[(0.775, 0.81)]",[16642.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.195,0.841,12057.0,12057.0,28.395943372249494,28.395943372249494,0,1,"[(0.195, 0.841)]",[12057.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.157,0.737,45222.0,45222.0,137.2478779435223,35.760907426965545,0,1,"[(0.157, 0.737)]",[45222.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.633,0.697,29074.0,29074.0,96.3628533187963,5.606388675417361,0,1,"[(0.633, 0.697)]",[29074.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.41,0.712,24098.0,24098.0,115.47767671758169,10.88167838756099,0,1,"[(0.41, 0.712)]",[24098.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.857,0.72,32525.0,32525.0,173.89775300445947,43.6987608519967,0,1,"[(0.857, 0.72)]",[32525.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.401,0.194,14371.0,14371.0,58.91276652762797,32.434469483819235,0,1,"[(0.401, 0.194)]",[14371.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.644,0.423,20449.0,20449.0,80.71701331303926,24.476095721853923,0,1,"[(0.644, 0.423)]",[20449.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.224,0.435,8005.0,8005.0,104.47544071820994,16.847646796635907,0,1,"[(0.224, 0.435)]",[8005.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.8,0.156,36293.0,36293.0,148.06488310661493,40.402493659123884,0,1,"[(0.8, 0.156)]",[36293.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.596,0.191,40641.0,40641.0,92.01497944484649,44.69956440453888,0,1,"[(0.596, 0.191)]",[40641.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.121,0.213,11482.0,11482.0,62.146488419679784,18.45033328526596,0,1,"[(0.121, 0.213)]",[11482.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.186,0.56,24825.0,24825.0,64.19634266461311,49.21520242173575,0,1,"[(0.186, 0.56)]",[24825.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.825,0.814,28276.0,28276.0,195.88668280411508,26.36074543710781,0,1,"[(0.825, 0.814)]",[28276.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.652,0.192,19958.0,19958.0,130.0299811581929,32.12067869768633,0,1,"[(0.652, 0.192)]",[19958.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.45,0.247,13356.0,13356.0,38.338383914049636,38.338383914049636,0,1,"[(0.45, 0.247)]",[13356.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.41,0.609,37106.0,37106.0,52.827658095720814,52.827658095720814,0,1,"[(0.41, 0.609)]",[37106.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.06,0.901,34125.0,34125.0,184.1040195107103,60.335097580098434,0,1,"[(0.06, 0.901)]",[34125.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.876,0.483,42801.0,42801.0,153.242509115454,31.137980024401063,0,1,"[(0.876, 0.483)]",[42801.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.585,0.532,40287.0,40287.0,48.866950999627534,79.71422771375258,0,1,"[(0.585, 0.532)]",[40287.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.926,0.892,30907.0,30907.0,10.3758438880574,10.3758438880574,0,1,"[(0.926, 0.892)]",[30907.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.127,0.162,8830.0,8830.0,123.07366412031455,38.48754733676855,0,1,"[(0.127, 0.162)]",[8830.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.041,0.893,16870.0,16870.0,169.8638254602786,40.337317709535405,0,1,"[(0.041, 0.893)]",[16870.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.247,0.881,47148.0,47148.0,35.31590820210983,33.629097259067905,0,1,"[(0.247, 0.881)]",[47148.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.366,0.639,39547.0,39547.0,105.56495399880734,27.217227640050194,0,1,"[(0.366, 0.639)]",[39547.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.879,0.92,42127.0,42127.0,198.3528111724157,54.240590889111814,0,1,"[(0.879, 0.92)]",[42127.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.568,0.274,29411.0,29411.0,94.05113809507465,33.117907643732586,0,1,"[(0.568, 0.274)]",[29411.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.099,0.214,13389.0,13389.0,156.33350670119748,76.97236344741764,0,1,"[(0.099, 0.214)]",[13389.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.306,0.415,22041.0,19595.0,92.67615978785591,97.83866202327276,0,2,"[(-1.0, -1.0), (0.306, 0.415)]","[19595.0, 22041.0]",5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.382,0.232,24909.0,24909.0,164.0227342556377,2.81601225770503,0,1,"[(0.382, 0.232)]",[24909.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.682,0.427,32545.0,32545.0,83.66933047870961,28.89649349999963,0,1,"[(0.682, 0.427)]",[32545.0],5,SimRI,a
