trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,81.19562010737951,81.19562010737951,20692.0,01,0,0,3,a
1,P,2,6000,159.24139724196448,34.15187164934253,7520.0,10,1,0,2,a
2,P,2,0,116.34312079311911,112.69192666388267,13072.0,10,1,0,2,a
3,B,10,30000,586.6340522216414,196.6008619956531,58744.0,6842159730,0,8,10,a
4,NT,10,30000,522.1810626178913,371.40648670084823,70648.0,4123786059,1,3,12,a
5,SimRI,10,0,735.9230574944494,236.6777621700361,68762.0,5628190734,1,6,10,a
6,B,10,30000,440.5461546758984,250.78243730614756,69537.0,2173456089,0,3,11,a
7,NT,10,30000,466.09815949861013,229.16732436150969,40282.0,7126045389,0,6,10,a
8,DivRI,10,0,853.2576271353065,371.6366954141005,55071.0,1906842357,0,10,10,a
9,B,10,30000,345.3985301147399,170.51982632451544,45437.0,0423756981,0,4,11,a
10,NT,10,30000,791.4393754316811,204.05709165331345,62466.0,0795136482,2,3,11,a
11,SimRI,10,0,428.9345000628557,228.22500022705992,53787.0,0123746589,0,3,10,a
12,B,10,30000,502.6784634379661,238.18058684609537,74494.0,0135786429,1,4,14,a
13,NT,10,30000,387.0477318639952,262.7144019846505,45022.0,0127496583,0,4,10,a
14,DivRI,10,0,533.2943105723332,371.69955071647723,50323.0,0493176825,1,5,10,a
15,DB,10,30000,380.67639328527605,139.7571869506007,40628.0,0153476298,1,3,10,b
16,D,10,0,507.75064651354234,227.2357428640542,38022.0,0173456298,2,0,10,b
17,DB,10,30000,236.82078394463946,174.59917771435903,52563.0,0123956784,1,0,11,b
18,D,10,0,266.291296282896,183.7616546385194,37717.0,0123956784,1,0,10,b
19,C,10,3000,77.238175820966,77.238175820966,66356.0,0123456789,0,0,11,b
