object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.322,0.413,14484.0,73.7907263821139,0,1,"[(0.322, 0.413)]",[14484.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.405,0.721,12018.0,41.265445593135176,0,1,"[(0.405, 0.721)]",[12018.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.246,0.405,5459.0,27.223094974671785,0,1,"[(0.246, 0.405)]",[5459.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.819,0.56,3115.0,22.42724459223648,0,1,"[(0.819, 0.56)]",[3115.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.803,0.503,24326.0,55.563874954866144,0,1,"[(0.803, 0.503)]",[24326.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.266,0.525,21466.0,54.24325303666807,0,1,"[(0.266, 0.525)]",[21466.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.249,0.584,59624.0,112.04733508656061,0,1,"[(0.249, 0.584)]",[59624.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.317,0.775,64242.0,36.656392527086574,0,1,"[(0.317, 0.775)]",[64242.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.532,0.146,28470.0,12.586742432031881,0,1,"[(0.532, 0.146)]",[28470.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.112,0.337,13979.0,15.4508672895731,0,1,"[(0.112, 0.337)]",[13979.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.186,0.108,17404.0,16.312112913010417,0,1,"[(0.186, 0.108)]",[17404.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.781,0.206,10932.0,32.87008478670774,0,2,"[(0.784, 0.216), (0.781, 0.206)]","[7727.0, 10932.0]",3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.791,0.587,24561.0,21.58896935993463,0,1,"[(0.791, 0.587)]",[24561.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.858,0.789,5265.0,27.482088994389507,0,1,"[(0.858, 0.789)]",[5265.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.514,0.641,55191.0,53.16236653155615,0,4,"[(0.5, 0.456), (0.514, 0.451), (0.506, 0.45), (0.514, 0.641)]","[20615.0, 41026.0, 51121.0, 55191.0]",3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.502,0.401,37839.0,25.330147138881625,0,1,"[(0.502, 0.401)]",[37839.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.318,0.415,43941.0,27.12198802286486,0,1,"[(0.318, 0.415)]",[43941.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.115,0.146,15634.0,24.10605110755389,0,2,"[(-1.0, -1.0), (0.115, 0.146)]","[10517.0, 15634.0]",4,NT,a
