object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
3,BLAD.ICO    ,0.868,0.526,0.846,0.596,26220.0,13.94139160916154,0,1,"[(0.846, 0.596)]",[26220.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.78,0.09,16686.0,29.848752067716333,0,2,"[(0.598, 0.162), (0.78, 0.09)]","[7004.0, 16686.0]",6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.38,0.626,37413.0,21.00546273401767,0,1,"[(0.38, 0.626)]",[37413.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.113,0.157,4574.0,11.336489756533988,0,1,"[(0.113, 0.157)]",[4574.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.104,0.618,10147.0,9.249774630483603,0,1,"[(0.104, 0.618)]",[10147.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.671,0.522,13292.0,13.300501300191852,0,1,"[(0.671, 0.522)]",[13292.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.401,0.27,15113.0,11.802635118258342,0,1,"[(0.401, 0.27)]",[15113.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.737,0.893,24449.0,27.992963520312603,0,1,"[(0.737, 0.893)]",[24449.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.612,0.273,22782.0,17.51947203961583,0,1,"[(0.612, 0.273)]",[22782.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.131,0.525,25621.0,13.681319380819968,0,1,"[(0.131, 0.525)]",[25621.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.083,0.08,7514.0,4.232132100685877,0,1,"[(0.083, 0.08)]",[7514.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.9,0.775,18158.0,17.244004755276556,0,1,"[(0.9, 0.775)]",[18158.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.396,0.383,24139.0,5.363925801127384,0,1,"[(0.396, 0.383)]",[24139.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.236,0.923,14603.0,2.4990598232135244,0,2,"[(0.099, 0.83), (0.236, 0.923)]","[12653.0, 14603.0]",7,NT,a
7,Butterf.ico ,0.109,0.822,0.101,0.817,16100.0,1.7924564150907543,0,1,"[(0.101, 0.817)]",[16100.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.874,0.12,20983.0,8.27754794610095,0,1,"[(0.874, 0.12)]",[20983.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.112,0.296,10375.0,11.985935648386903,0,1,"[(0.112, 0.296)]",[10375.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.438,0.099,6432.0,15.059223087530112,0,2,"[(0.129, 0.105), (0.438, 0.099)]","[3963.0, 6432.0]",7,NT,a
1,Bike.ico    ,0.149,0.929,0.105,0.87,8067.0,13.984051630339478,0,1,"[(0.105, 0.87)]",[8067.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.366,0.773,17627.0,22.595430259762562,0,3,"[(0.38, 0.844), (0.372, 0.849), (0.366, 0.773)]","[12163.0, 14477.0, 17627.0]",8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.879,0.202,31458.0,61.59546817745605,0,1,"[(0.879, 0.202)]",[31458.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.588,0.112,6451.0,11.098342218547783,0,1,"[(0.588, 0.112)]",[6451.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.385,0.421,35477.0,59.88491116775749,0,1,"[(0.385, 0.421)]",[35477.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.09,0.085,2718.0,12.871010061374355,0,1,"[(0.09, 0.085)]",[2718.0],8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.091,0.505,21915.0,15.476901226690625,0,1,"[(0.091, 0.505)]",[21915.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.642,0.32,27301.0,28.718256566449245,0,1,"[(0.642, 0.32)]",[27301.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.27,0.214,4876.0,16.259131392997134,0,1,"[(0.27, 0.214)]",[4876.0],8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.847,0.887,19237.0,48.870383356073155,0,2,"[(0.857, 0.808), (0.847, 0.887)]","[16140.0, 19237.0]",8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.69,0.228,14675.0,16.661602563979248,0,1,"[(0.69, 0.228)]",[14675.0],9,B,a
2,Camel.ico   ,0.679,0.674,0.691,0.645,20556.0,5.96309483406058,0,1,"[(0.691, 0.645)]",[20556.0],9,B,a
3,Camera.ico  ,0.278,0.346,0.35,0.315,15642.0,14.894109573922158,0,1,"[(0.35, 0.315)]",[15642.0],9,B,a
4,Candle.ico  ,0.2318841,0.09118541,0.143,0.138,5949.0,19.08718956303886,0,1,"[(0.143, 0.138)]",[5949.0],9,B,a
5,Cap.ico     ,0.684058,0.9392097,0.611,0.937,8460.0,13.887367799012504,0,1,"[(0.611, 0.937)]",[8460.0],9,B,a
6,Cards.ico   ,0.8231884,0.4650456,0.893,0.358,18701.0,24.281687772033308,0,1,"[(0.893, 0.358)]",[18701.0],9,B,a
7,Carrot.ico  ,0.2753623,0.8054711,0.287,0.802,9861.0,2.3074214902461936,0,1,"[(0.287, 0.802)]",[9861.0],9,B,a
8,Caterp.ico  ,0.885,0.221,0.871,0.12,4532.0,19.373479295160177,0,1,"[(0.871, 0.12)]",[4532.0],9,B,a
9,CD.ico      ,0.094,0.557,0.173,0.494,11426.0,19.19846348018508,0,1,"[(0.173, 0.494)]",[11426.0],9,B,a
10,Eagle.ico   ,0.4637681,0.5896657,0.33,0.614,23497.0,25.833057594892054,0,1,"[(0.33, 0.614)]",[23497.0],9,B,a
1,Calcul.ico  ,0.2927536,0.212766,0.459,0.183,4295.0,32.08912709485031,0,1,"[(0.459, 0.183)]",[4295.0],10,NT,a
2,Camel.ico   ,0.6289855,0.08510638,0.195,0.802,37504.0,159.22406710516802,0,1,"[(0.195, 0.802)]",[37504.0],10,NT,a
3,Camera.ico  ,0.3681159,0.556231,0.287,0.554,27486.0,15.417849202678727,0,1,"[(0.287, 0.554)]",[27486.0],10,NT,a
4,Candle.ico  ,0.2637681,0.8632219,0.167,0.148,33813.0,137.13031092417768,0,1,"[(0.167, 0.148)]",[33813.0],10,NT,a
5,Cap.ico     ,0.581,0.461,0.498,0.427,18783.0,17.041845557333275,0,1,"[(0.498, 0.427)]",[18783.0],10,NT,a
6,Cards.ico   ,0.8550724,0.2218845,0.858,0.202,7229.0,3.818783441170893,0,1,"[(0.858, 0.202)]",[7229.0],10,NT,a
7,Carrot.ico  ,0.8869565,0.8449848,0.555,0.775,11900.0,64.45817980249495,0,1,"[(0.555, 0.775)]",[11900.0],10,NT,a
8,Caterp.ico  ,0.567,0.695,0.816,0.803,22719.0,51.56846420051698,0,1,"[(0.816, 0.803)]",[22719.0],10,NT,a
9,CD.ico      ,0.074,0.421,0.086,0.418,29461.0,2.350170206602066,0,2,"[(0.083, 0.211), (0.086, 0.418)]","[2045.0, 29461.0]",10,NT,a
10,Eagle.ico   ,0.878,0.575,0.89,0.565,15463.0,2.9678948768445315,0,1,"[(0.89, 0.565)]",[15463.0],10,NT,a
1,Calcul.ico  ,0.603,0.239,0.547,0.137,23105.0,22.108686075839053,0,1,"[(0.547, 0.137)]",[23105.0],11,SimRI,a
2,Camel.ico   ,0.679,0.674,0.595,0.816,33559.0,31.347121079933313,0,1,"[(0.595, 0.816)]",[33559.0],11,SimRI,a
3,Camera.ico  ,0.278,0.346,0.151,0.816,43820.0,92.50268590695083,0,1,"[(0.151, 0.816)]",[43820.0],11,SimRI,a
4,Candle.ico  ,0.2318841,0.09118541,0.184,0.162,17807.0,16.242047720265433,0,1,"[(0.184, 0.162)]",[17807.0],11,SimRI,a
5,Cap.ico     ,0.684058,0.9392097,0.431,0.724,39809.0,63.11706381641221,0,1,"[(0.431, 0.724)]",[39809.0],11,SimRI,a
6,Cards.ico   ,0.8231884,0.4650456,0.81,0.352,21323.0,21.624338621528107,0,1,"[(0.81, 0.352)]",[21323.0],11,SimRI,a
7,Carrot.ico  ,0.2753623,0.8054711,0.443,0.487,50598.0,68.38053278436524,0,1,"[(0.443, 0.487)]",[50598.0],11,SimRI,a
8,Caterp.ico  ,0.885,0.221,0.854,0.115,31999.0,20.983605505251,0,3,"[(0.775, 0.83), (0.59, 0.855), (0.854, 0.115)]","[27915.0, 29875.0, 31999.0]",11,SimRI,a
9,CD.ico      ,0.094,0.557,0.11,0.424,36409.0,25.452200297813167,0,1,"[(0.11, 0.424)]",[36409.0],11,SimRI,a
10,Eagle.ico   ,0.4637681,0.5896657,0.795,0.528,48015.0,64.01540445737268,0,1,"[(0.795, 0.528)]",[48015.0],11,SimRI,a
1,Cloaver.ico ,0.096,0.962,0.078,0.876,7728.0,16.694070803731478,0,1,"[(0.078, 0.876)]",[7728.0],12,B,a
2,Clock.ico   ,0.136,0.728,0.09,0.547,9722.0,35.4832312508317,0,1,"[(0.09, 0.547)]",[9722.0],12,B,a
3,Cola.ico    ,0.7507246,0.224924,0.74,0.276,18227.0,9.916061266645945,0,1,"[(0.74, 0.276)]",[18227.0],12,B,a
4,Compass.ico ,0.4144928,0.5197569,0.5,0.42,23982.0,24.9638022868141,0,2,"[(0.407, 0.626), (0.5, 0.42)]","[2955.0, 23982.0]",12,B,a
5,Coptr.ico   ,0.3130435,0.7112462,0.386,0.626,33143.0,21.318614279345397,0,2,"[(0.27, 0.468), (0.386, 0.626)]","[4226.0, 33143.0]",12,B,a
6,crab.ico    ,0.773913,0.7203647,0.631,0.672,30478.0,28.666252613146845,0,2,"[(0.688, 0.748), (0.631, 0.672)]","[12561.0, 30478.0]",12,B,a
7,Cross.ico   ,0.04347826,0.4255319,0.083,0.336,10807.0,18.59470996583645,0,1,"[(0.083, 0.336)]",[10807.0],12,B,a
8,Cube.ico    ,0.5217391,0.8601823,0.397,0.822,28657.0,24.785884950628855,0,2,"[(0.528, 0.754), (0.397, 0.822)]","[6025.0, 28657.0]",12,B,a
9,Cup.ico     ,0.915942,0.449848,0.83,0.478,16896.0,17.18272694000578,0,1,"[(0.83, 0.478)]",[16896.0],12,B,a
10,Cupb.ico    ,0.4637681,0.1337386,0.397,0.083,14794.0,15.933269844676484,0,1,"[(0.397, 0.083)]",[14794.0],12,B,a
