object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.241,0.764,15394.0,19.902896774087942,0,2,"[(-1.0, -1.0), (0.241, 0.764)]","[11166.0, 15394.0]",0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.645,0.467,17686.0,28.12641818646662,0,1,"[(0.645, 0.467)]",[17686.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.334,0.364,3186.0,9.028499321592706,0,1,"[(0.334, 0.364)]",[3186.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.75,0.573,5590.0,28.40166368366472,0,1,"[(0.75, 0.573)]",[5590.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.301,0.511,6068.0,40.28806523028874,0,1,"[(0.301, 0.511)]",[6068.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.767,0.701,8341.0,83.51013351683734,0,1,"[(0.767, 0.701)]",[8341.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.838,0.413,18088.0,10.470706757425699,0,1,"[(0.838, 0.413)]",[18088.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.093,0.811,6265.0,15.240615797921302,0,1,"[(0.093, 0.811)]",[6265.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.421,0.225,21979.0,37.685361856433225,0,1,"[(0.421, 0.225)]",[21979.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.075,0.366,13811.0,16.96115856891857,0,1,"[(0.075, 0.366)]",[13811.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.067,0.127,9023.0,20.067488041227314,0,1,"[(0.067, 0.127)]",[9023.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.885,0.151,11584.0,12.031437919274488,0,1,"[(0.885, 0.151)]",[11584.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.558,0.625,29370.0,31.989450079427687,0,1,"[(0.558, 0.625)]",[29370.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.81,0.863,3814.0,19.816613905900898,0,1,"[(0.81, 0.863)]",[3814.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.595,0.356,27665.0,72.98952876636156,0,1,"[(0.595, 0.356)]",[27665.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.312,0.555,25968.0,57.21926696871775,0,1,"[(0.312, 0.555)]",[25968.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.712,0.47,32087.0,60.39972371553055,0,1,"[(0.712, 0.47)]",[32087.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.538,0.612,13551.0,132.4377687821718,0,1,"[(0.538, 0.612)]",[13551.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.318,0.358,34480.0,59.18736351621011,0,1,"[(0.318, 0.358)]",[34480.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.484,0.165,19857.0,22.11701291379693,0,1,"[(0.484, 0.165)]",[19857.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.096,0.123,29846.0,115.86014417166231,0,1,"[(0.096, 0.123)]",[29846.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.893,0.317,25301.0,38.01187314511086,0,1,"[(0.893, 0.317)]",[25301.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.191,0.813,17568.0,26.121372475427094,0,1,"[(0.191, 0.813)]",[17568.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.238,0.634,11240.0,37.814296238327636,0,1,"[(0.238, 0.634)]",[11240.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.838,0.825,5870.0,24.56093985761414,0,1,"[(0.838, 0.825)]",[5870.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.748,0.113,35969.0,17.793172848033596,0,1,"[(0.748, 0.113)]",[35969.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.854,0.495,31129.0,7.390487128735155,0,1,"[(0.854, 0.495)]",[31129.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.08,0.835,13046.0,20.421511897502786,0,1,"[(0.08, 0.835)]",[13046.0],5,SimRI,a
